feature,n_valid,n_unique,passed,reasons
cycle_duration_s__median,31,18,True,
stance_pct__median,31,28,True,
swing_pct__median,31,28,True,
stance_duration_s__median,31,21,True,
swing_duration_s__median,31,18,True,
foot_off_pct__median,31,28,False,duplicated:stance_pct__median
opposite_contact_pct__median,31,7,False,near_constant
opposite_foot_off_pct__median,31,27,True,
mid_stance_pct__median,31,25,True,
LASI_ax1_excursion__median,31,31,True,
LASI_ax2_excursion__median,31,31,True,
LASI_ax3_excursion__median,31,31,True,
LASI_path3d__median,31,31,True,
RASI_ax1_excursion__median,31,31,True,
RASI_ax2_excursion__median,31,31,True,
RASI_ax3_excursion__median,31,31,True,
RASI_path3d__median,31,31,True,
LPSI_ax1_excursion__median,31,31,True,
LPSI_ax2_excursion__median,31,31,True,
LPSI_ax3_excursion__median,31,31,True,
LPSI_path3d__median,31,31,True,
RPSI_ax1_excursion__median,31,31,True,
RPSI_ax2_excursion__median,31,31,True,
RPSI_ax3_excursion__median,31,30,True,
RPSI_path3d__median,31,31,True,
LHJC_ax1_excursion__median,31,31,True,
LHJC_ax2_excursion__median,31,31,True,
LHJC_ax3_excursion__median,31,31,True,
LHJC_path3d__median,31,31,True,
RHJC_ax1_excursion__median,31,31,True,
RHJC_ax2_excursion__median,31,31,True,
RHJC_ax3_excursion__median,31,31,True,
RHJC_path3d__median,31,31,True,
LKJC_ax1_excursion__median,31,31,True,
LKJC_ax2_excursion__median,31,31,True,
LKJC_ax3_excursion__median,31,31,True,
LKJC_path3d__median,31,31,True,
RKJC_ax1_excursion__median,31,31,True,
RKJC_ax2_excursion__median,31,31,True,
RKJC_ax3_excursion__median,31,31,True,
RKJC_path3d__median,31,31,True,
LAJC_ax1_excursion__median,31,31,True,
LAJC_ax2_excursion__median,31,31,True,
LAJC_ax3_excursion__median,31,31,True,
LAJC_path3d__median,31,31,True,
RAJC_ax1_excursion__median,31,31,True,
RAJC_ax2_excursion__median,31,31,True,
RAJC_ax3_excursion__median,31,31,True,
RAJC_path3d__median,31,31,True,
LHEE_ax1_excursion__median,31,31,True,
LHEE_ax2_excursion__median,31,31,True,
LHEE_ax3_excursion__median,31,31,True,
LHEE_path3d__median,31,31,True,
RHEE_ax1_excursion__median,31,31,True,
RHEE_ax2_excursion__median,31,31,True,
RHEE_ax3_excursion__median,31,31,True,
RHEE_path3d__median,31,31,True,
LTOE_ax1_excursion__median,31,31,True,
LTOE_ax2_excursion__median,31,31,True,
LTOE_ax3_excursion__median,31,31,True,
LTOE_path3d__median,31,31,True,
RTOE_ax1_excursion__median,31,31,True,
RTOE_ax2_excursion__median,31,31,True,
RTOE_ax3_excursion__median,31,31,True,
RTOE_path3d__median,31,31,True,
CentreOfMass_ax1_excursion__median,31,31,True,
CentreOfMass_ax2_excursion__median,31,31,True,
CentreOfMass_ax3_excursion__median,31,31,True,
CentreOfMass_path3d__median,31,31,True,
CentreOfMassFloor_ax1_excursion__median,31,31,False,duplicated:CentreOfMass_ax1_excursion__median
CentreOfMassFloor_ax2_excursion__median,31,31,False,duplicated:CentreOfMass_ax2_excursion__median
CentreOfMassFloor_ax3_excursion__median,31,1,False,constant|near_constant
CentreOfMassFloor_path3d__median,31,31,True,
LHipAngles_ax1_phase_0_10_mean__median,31,31,True,
LHipAngles_ax1_phase_0_10_min__median,31,31,True,
LHipAngles_ax1_phase_0_10_max__median,31,31,True,
LHipAngles_ax1_phase_0_10_rom__median,31,31,True,
LHipAngles_ax1_phase_10_20_mean__median,31,31,True,
LHipAngles_ax1_phase_10_20_min__median,31,31,True,
LHipAngles_ax1_phase_10_20_max__median,31,31,True,
LHipAngles_ax1_phase_10_20_rom__median,31,31,True,
LHipAngles_ax1_phase_20_30_mean__median,31,31,True,
