cluster_id,representative,n_members,members,max_abs_spearman
253,RAnkleAngles_ax1_phase_60_70_max__median,1,RAnkleAngles_ax1_phase_60_70_max__median,0.0
254,RAnkleAngles_ax1_phase_60_70_rom__median,1,RAnkleAngles_ax1_phase_60_70_rom__median,0.0
255,RAnkleAngles_ax1_phase_70_80_rom__median,1,RAnkleAngles_ax1_phase_70_80_rom__median,0.0
256,RAnkleAngles_ax1_phase_80_90_min__median,2,RAnkleAngles_ax1_phase_80_90_min__median|RAnkleAngles_ax1_phase_80_90_mean__median,0.9129032258064517
257,RAnkleAngles_ax1_phase_80_90_rom__median,1,RAnkleAngles_ax1_phase_80_90_rom__median,0.0
258,RAnkleAngles_ax1_phase_90_100_rom__median,1,RAnkleAngles_ax1_phase_90_100_rom__median,0.0
259,coord_left_hip_knee_ax1_corr__median,1,coord_left_hip_knee_ax1_corr__median,0.0
260,coord_left_knee_ankle_ax1_corr__median,1,coord_left_knee_ankle_ax1_corr__median,0.0
261,coord_left_knee_ankle_ax1_lag_pct__median,1,coord_left_knee_ankle_ax1_lag_pct__median,0.0
262,coord_right_hip_knee_ax1_corr__median,1,coord_right_hip_knee_ax1_corr__median,0.0
263,coord_right_knee_ankle_ax1_corr__median,1,coord_right_knee_ankle_ax1_corr__median,0.0
264,coord_right_knee_ankle_ax1_lag_pct__median,1,coord_right_knee_ankle_ax1_lag_pct__median,0.0
265,COM_msjerk__median,1,COM_msjerk__median,0.0
266,RKneeAngles_ax1_msjerk__median,2,RKneeAngles_ax1_msjerk__median|LKneeAngles_ax1_msjerk__median,0.9512096774193548
267,sym_HipAngles_ax1_rom_absdiff,1,sym_HipAngles_ax1_rom_absdiff,0.0
268,sym_HipAngles_ax1_rom_si,1,sym_HipAngles_ax1_rom_si,0.0
269,sym_HipAngles_ax1_max_absdiff,1,sym_HipAngles_ax1_max_absdiff,0.0
270,sym_HipAngles_ax1_max_si,1,sym_HipAngles_ax1_max_si,0.0
271,sym_HipAngles_ax1_tmax_pct_absdiff,1,sym_HipAngles_ax1_tmax_pct_absdiff,0.0
272,sym_HipAngles_ax1_tmax_pct_si,1,sym_HipAngles_ax1_tmax_pct_si,0.0
273,sym_KneeAngles_ax1_rom_absdiff,1,sym_KneeAngles_ax1_rom_absdiff,0.0
274,sym_KneeAngles_ax1_rom_si,1,sym_KneeAngles_ax1_rom_si,0.0
275,sym_KneeAngles_ax1_max_absdiff,1,sym_KneeAngles_ax1_max_absdiff,0.0
276,sym_KneeAngles_ax1_max_si,1,sym_KneeAngles_ax1_max_si,0.0
277,sym_KneeAngles_ax1_tmax_pct_absdiff,1,sym_KneeAngles_ax1_tmax_pct_absdiff,0.0
278,sym_KneeAngles_ax1_tmax_pct_si,1,sym_KneeAngles_ax1_tmax_pct_si,0.0
279,sym_AnkleAngles_ax1_rom_absdiff,1,sym_AnkleAngles_ax1_rom_absdiff,0.0
280,sym_AbsAnkleAngle_ax1_rom_si,2,sym_AbsAnkleAngle_ax1_rom_si|sym_AnkleAngles_ax1_rom_si,0.9508064516129032
281,sym_AnkleAngles_ax1_max_absdiff,1,sym_AnkleAngles_ax1_max_absdiff,0.0
282,sym_AnkleAngles_ax1_max_si,1,sym_AnkleAngles_ax1_max_si,0.0
283,sym_AnkleAngles_ax1_tmax_pct_absdiff,1,sym_AnkleAngles_ax1_tmax_pct_absdiff,0.0
284,sym_AnkleAngles_ax1_tmax_pct_si,1,sym_AnkleAngles_ax1_tmax_pct_si,0.0
285,sym_AbsAnkleAngle_ax1_rom_absdiff,1,sym_AbsAnkleAngle_ax1_rom_absdiff,0.0
286,sym_AbsAnkleAngle_ax1_max_absdiff,1,sym_AbsAnkleAngle_ax1_max_absdiff,0.0
287,sym_AbsAnkleAngle_ax1_max_si,1,sym_AbsAnkleAngle_ax1_max_si,0.0
288,sym_AbsAnkleAngle_ax1_tmax_pct_absdiff,1,sym_AbsAnkleAngle_ax1_tmax_pct_absdiff,0.0
289,sym_AbsAnkleAngle_ax1_tmax_pct_si,1,sym_AbsAnkleAngle_ax1_tmax_pct_si,0.0
290,sym_FootProgressAngles_ax1_rom_absdiff,1,sym_FootProgressAngles_ax1_rom_absdiff,0.0
291,sym_FootProgressAngles_ax1_rom_si,1,sym_FootProgressAngles_ax1_rom_si,0.0
292,sym_FootProgressAngles_ax1_max_absdiff,1,sym_FootProgressAngles_ax1_max_absdiff,0.0
293,sym_FootProgressAngles_ax1_max_si,1,sym_FootProgressAngles_ax1_max_si,0.0
294,sym_FootProgressAngles_ax1_tmax_pct_absdiff,1,sym_FootProgressAngles_ax1_tmax_pct_absdiff,0.0
295,sym_FootProgressAngles_ax1_tmax_pct_si,1,sym_FootProgressAngles_ax1_tmax_pct_si,0.0
296,sym_ASI_ax1_excursion_absdiff,4,sym_ASI_ax1_excursion_absdiff|sym_HJC_ax1_excursion_absdiff|sym_ASI_path3d_absdiff|sym_HJC_path3d_absdiff,0.9483870967741935
297,sym_ASI_path3d_si,6,sym_ASI_path3d_si|sym_ASI_ax1_excursion_si|sym_HJC_path3d_si|sym_HJC_ax1_excursion_si|sym_PSI_path3d_si|sym_PSI_ax1_excursion_si,0.9822580645161291
298,sym_KJC_ax1_excursion_absdiff,1,sym_KJC_ax1_excursion_absdiff,0.0
299,sym_KJC_ax1_excursion_si,1,sym_KJC_ax1_excursion_si,0.0
300,sym_KJC_path3d_absdiff,1,sym_KJC_path3d_absdiff,0.0
301,sym_KJC_path3d_si,1,sym_KJC_path3d_si,0.0
302,sym_AJC_ax1_excursion_absdiff,2,sym_AJC_ax1_excursion_absdiff|sym_TOE_ax1_excursion_absdiff,0.9209677419354839
303,sym_TOE_path3d_si,4,sym_TOE_path3d_si|sym_HEE_ax1_excursion_si|sym_AJC_ax1_excursion_si|sym_TOE_ax1_excursion_si,0.9770161290322581
304,sym_AJC_path3d_absdiff,1,sym_AJC_path3d_absdiff,0.0
305,sym_AJC_path3d_si,1,sym_AJC_path3d_si,0.0
306,sym_HEE_ax1_excursion_absdiff,1,sym_HEE_ax1_excursion_absdiff,0.0
307,sym_HEE_path3d_absdiff,1,sym_HEE_path3d_absdiff,0.0
308,sym_HEE_path3d_si,1,sym_HEE_path3d_si,0.0
309,sym_TOE_path3d_absdiff,1,sym_TOE_path3d_absdiff,0.0
310,sym_PSI_ax1_excursion_absdiff,2,sym_PSI_ax1_excursion_absdiff|sym_PSI_path3d_absdiff,0.9048387096774193
311,var_cycle_duration_s_cv,2,var_cycle_duration_s_cv|var_cycle_duration_s_sd,0.9887096774193549
312,var_cycle_duration_s_mad,1,var_cycle_duration_s_mad,0.0
313,var_stance_pct_sd,2,var_stance_pct_sd|var_stance_pct_cv,0.9943548387096774
314,var_stance_pct_mad,1,var_stance_pct_mad,0.0
315,var_LKneeAngles_ax1_rom_sd,2,var_LKneeAngles_ax1_rom_sd|var_LKneeAngles_ax1_rom_cv,0.9883064516129032
316,var_LKneeAngles_ax1_rom_mad,1,var_LKneeAngles_ax1_rom_mad,0.0
317,var_RKneeAngles_ax1_rom_sd,2,var_RKneeAngles_ax1_rom_sd|var_RKneeAngles_ax1_rom_cv,0.9741935483870968
318,var_RKneeAngles_ax1_rom_mad,1,var_RKneeAngles_ax1_rom_mad,0.0
319,var_LHipAngles_ax1_rom_sd,2,var_LHipAngles_ax1_rom_sd|var_LHipAngles_ax1_rom_cv,0.9504032258064516
320,var_LHipAngles_ax1_rom_mad,1,var_LHipAngles_ax1_rom_mad,0.0
321,var_RHipAngles_ax1_rom_sd,2,var_RHipAngles_ax1_rom_sd|var_RHipAngles_ax1_rom_cv,0.9540322580645161
322,var_RHipAngles_ax1_rom_mad,1,var_RHipAngles_ax1_rom_mad,0.0
323,var_LAnkleAngles_ax1_rom_sd,1,var_LAnkleAngles_ax1_rom_sd,0.0
324,var_LAnkleAngles_ax1_rom_cv,1,var_LAnkleAngles_ax1_rom_cv,0.0
325,var_LAnkleAngles_ax1_rom_mad,1,var_LAnkleAngles_ax1_rom_mad,0.0
326,var_RAnkleAngles_ax1_rom_sd,2,var_RAnkleAngles_ax1_rom_sd|var_RAnkleAngles_ax1_rom_cv,0.9153225806451613
327,var_RAnkleAngles_ax1_rom_mad,1,var_RAnkleAngles_ax1_rom_mad,0.0
328,var_LKneeAngles_ax1_tmax_pct_sd,1,var_LKneeAngles_ax1_tmax_pct_sd,0.0
329,var_LKneeAngles_ax1_tmax_pct_cv,1,var_LKneeAngles_ax1_tmax_pct_cv,0.0
330,var_LKneeAngles_ax1_tmax_pct_mad,1,var_LKneeAngles_ax1_tmax_pct_mad,0.0
331,var_RKneeAngles_ax1_tmax_pct_sd,1,var_RKneeAngles_ax1_tmax_pct_sd,0.0
