,S11,S12,S13,S14,S15,S17,S19,S2,S23,S26,S27,S3,S30,S31,S32,S34,S35,S37,S38,S39,S4,S40,S41,S42,S43,S46,S48,S5,S7,S8,S9
S4,-0.0641667777973331,0.6627071925740877,-0.14541224383694168,-0.01701494823103575,-0.04051314260070108,-0.0711129409367084,0.043776502137636744,-0.2038884550498567,-0.034626183167221165,-0.27614484810154105,-0.08467074660466274,-0.2339112902405213,0.07853158232964766,-0.17393346773442553,-0.04762180873039259,-0.1458594747915534,-0.1317823065216295,-0.1398393958268351,-0.12363551518522041,-0.217044609518341,1.0,-0.03961347402374482,-0.27495494234835516,-0.015471538363760957,-0.13090137234170243,0.7094455336300598,-0.24841023572973933,-0.06477083215975804,-0.17204306325888202,-0.09318910209557929,-0.10678119588058278
S40,-0.06876755264592146,-0.10835672747512173,-0.0866064324876868,-0.1387947071352538,-0.26146032331534996,-0.2543173373058966,0.6039935777521496,-0.15375255195983303,-0.1804770340107202,-0.1715849472041035,-0.14507083144401858,0.3687211031719149,-0.7154320582889653,-0.09486798144380738,-0.05267066766516159,-0.21320060559232873,0.9277666327345898,-0.2046663992782926,-0.153516941344688,-0.1874588731185478,-0.03961347402374482,1.0000000000000002,-0.1697893451716352,-0.06247692197643231,-0.0242255002108611,-0.09284504208610649,-0.06877848269171094,0.9504294691400995,-0.18136675601204952,0.4885369244145325,-0.22457291661852533
S41,-0.554757982556629,-0.2354450612900536,-0.5513900325279666,-0.047175484306857945,-0.33363788522177057,-0.09697450958498949,-0.1975657677632912,-0.3332605310487623,-0.3448442108255202,0.9360420949422485,-0.5195419434706705,0.7944038631036042,-0.12485923816441759,-0.5581327339525921,-0.13409244099221687,-0.32222982339765155,-0.05992109328813451,-0.5552558786690188,-0.39386785962435,0.9042447550568434,-0.27495494234835516,-0.1697893451716352,0.9999999999999999,-0.5077122201862043,-0.5168292887807661,-0.23716113844941483,-0.5083244263724018,-0.18032589511735758,-0.524451661553985,-0.19154776544813001,-0.4274869751821692
S42,0.6946580976290938,-0.10381807451861925,0.7759836858827294,0.35733611613482896,0.6384837495177551,-0.10293614255184105,0.08943817151034864,0.7133514305953896,0.5143399448831745,-0.4975263745722286,0.296684707362073,-0.5975321912152313,0.14537050450103872,0.5788467528205008,-0.07131805239794675,0.19519387548517744,-0.16144020956113964,0.6207885845459357,0.5013600046398378,-0.5419263794746204,-0.015471538363760957,-0.06247692197643231,-0.5077122201862043,1.0,0.4049889467157932,0.09668671585969345,0.4378197220165282,-0.01378118446037516,0.6347495410824352,0.19950729059553723,0.4963564782644693
S43,0.32956768205098963,-0.33488072611289765,0.4718844248800897,-0.12461169008525579,0.2532824574527966,-0.2967487293929754,0.14062848473266532,0.42626542797621064,0.4357589017356484,-0.4857976244901555,0.31813129463932766,-0.541291782781692,0.3109986395692028,0.7723669336220864,0.03134237052399549,0.28861387558758617,-0.13930087752231585,0.6301324236720117,0.35430948971499215,-0.4765390162314841,-0.13090137234170243,-0.0242255002108611,-0.5168292887807661,0.4049889467157932,0.9999999999999999,0.19281108032230176,0.6721553199996521,-0.07538300392676521,0.5248652647382617,-0.13845741574404585,0.44111103931237355
S46,-0.012546179899496867,0.0931682898833659,0.027130810314398613,0.034331167984186124,0.0495386051809287,-0.48460410228794787,0.034671582405014126,-0.0006723233540959119,0.04302009581519982,-0.21462598047171727,-0.11077029461561991,-0.16932109808159657,0.39068216046514526,0.03808422623504078,-0.044366871874437226,-0.09591671488215489,-0.15626350772632053,0.0512865438061968,-0.014627678890925764,-0.14458980407273653,0.7094455336300598,-0.09284504208610649,-0.23716113844941483,0.09668671585969345,0.19281108032230176,1.0000000000000004,-0.004803403284350767,-0.06211845385344788,-0.0425856593042304,-0.10382964583458242,-0.06511794317018997
S48,0.5767888142143507,-0.20470573467121966,0.6680214896498373,0.36631002088434556,0.3898700014436355,-0.2356900630893926,0.165336098940918,0.43571479528360196,0.5177132798536416,-0.3884956745648112,0.3324527969859692,-0.554290253520864,0.1374547783826412,0.8093442906622956,0.03406472510036218,0.44557616554470214,-0.09062072843973597,0.6934953641745482,0.39049520164992296,-0.3958613783750206,-0.24841023572973933,-0.06877848269171094,-0.5083244263724018,0.4378197220165282,0.6721553199996521,-0.004803403284350767,0.9999999999999997,-0.05566746858581422,0.6173690419674942,0.2571152112275304,0.47506436834374083
S5,0.022910417740524578,-0.09439368530982267,-0.04104782157374048,-0.0032940868010752915,-0.27514999655351574,-0.2658152192315532,0.5984669513642107,-0.07212029259277195,-0.16235615392999136,-0.19098703636009573,-0.1807297854507183,0.3668370737081821,-0.7277962776788379,-0.13385952859585018,-0.07833358538558348,-0.16255270537028033,0.9564558466477164,-0.14782159052593627,-0.12152485521457063,-0.18957544153373915,-0.06477083215975804,0.9504294691400995,-0.18032589511735758,-0.01378118446037516,-0.07538300392676521,-0.06211845385344788,-0.05566746858581422,0.9999999999999999,-0.06922676062623723,0.6055709220240312,-0.17572675031058144
S7,0.7662617501138071,-0.1560935458107503,0.6818894993450794,0.24467281079141998,0.3007825977912157,-0.03862061094338401,0.03731844369801742,0.5378141198920472,0.6321545744959297,-0.5136338147235747,0.45113573763089193,-0.6626535208902368,0.2062567440010627,0.6402014009982914,-0.05653594618003637,0.48218288179100444,-0.1901059036123792,0.8299828104091734,0.674467424734975,-0.5240794058287567,-0.17204306325888202,-0.18136675601204952,-0.524451661553985,0.6347495410824352,0.5248652647382617,-0.0425856593042304,0.6173690419674942,-0.06922676062623723,1.0,0.10112182567518009,0.7255781409220076
S8,0.1902786500607621,-0.01331859130010024,0.27304225976007773,0.7326455041584072,0.08592837474162328,-0.06317825927933164,0.21236042463202354,0.12516409028934564,0.032821983014897554,-0.1779729392112212,-0.026710609340482288,0.07171051489389395,-0.5020643359455433,0.004539992754457965,-0.20535112636556838,0.026988899019923313,0.5705822049280544,-0.016577946277190878,-0.017366142302143076,-0.20063562436608456,-0.09318910209557929,0.4885369244145325,-0.19154776544813001,0.19950729059553723,-0.13845741574404585,-0.10382964583458242,0.2571152112275304,0.6055709220240312,0.10112182567518009,1.0000000000000002,0.12859313365804212
S9,0.6044483894826551,-0.08412187726615915,0.4252255621268049,0.3251597720822108,0.13776385296695157,0.013036158698172094,-0.06222585970924015,0.4704959746536586,0.6715217732955893,-0.46045279377068915,0.6334762406155382,-0.632276319869576,0.25565811806423,0.5832975512128183,0.10443756450699845,0.40917256510413297,-0.30662680261336384,0.5140995379427362,0.5679373750798344,-0.5546871776508795,-0.10678119588058278,-0.22457291661852533,-0.4274869751821692,0.4963564782644693,0.44111103931237355,-0.06511794317018997,0.47506436834374083,-0.17572675031058144,0.7255781409220076,0.12859313365804212,1.0
