cycle_id,subject_id,session_id,side,events_fc,events_opposite_fc,events_fo,events_mid_stance,duration_status,lower_body_status,upper_body_status,overall,usable_lower_body,reasons,pelvis_present,pelvis_expected,pelvis_finite_ratio,pelvis_status,hip_present,hip_expected,hip_finite_ratio,hip_status,knee_present,knee_expected,knee_finite_ratio,knee_status,ankle_present,ankle_expected,ankle_finite_ratio,ankle_status,foot_present,foot_expected,foot_finite_ratio,foot_status,whole_body_present,whole_body_expected,whole_body_finite_ratio,whole_body_status,trunk_present,trunk_expected,trunk_finite_ratio,trunk_status,head_present,head_expected,head_finite_ratio,head_status,arms_present,arms_expected,arms_finite_ratio,arms_status
S3_WU01_L_02,S3,WU01,L,PASS,PASS,PASS,PASS,PASS,PASS,WARNING,PASS,True,upper-body warning,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,0.954386,WARNING
S3_WU02_L_01,S3,WU02,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S3_WU02_R_01,S3,WU02,R,PASS,PASS,PASS,PASS,PASS,PASS,WARNING,PASS,True,upper-body warning,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,0.983182,WARNING
S3_WU02_L_02,S3,WU02,L,PASS,PASS,PASS,PASS,PASS,PASS,WARNING,PASS,True,upper-body warning,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,0.959633,WARNING
S3_WU03_R_01,S3,WU03,R,PASS,PASS,PASS,PASS,PASS,PASS,WARNING,PASS,True,upper-body warning,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,0.973853,WARNING
S3_WU03_L_01,S3,WU03,L,PASS,PASS,PASS,PASS,PASS,PASS,WARNING,PASS,True,upper-body warning,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,0.954128,WARNING
S3_WU03_R_02,S3,WU03,R,PASS,PASS,PASS,PASS,PASS,PASS,WARNING,PASS,True,upper-body warning,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,0.974074,WARNING
S3_WU04_R_01,S3,WU04,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S3_WU04_L_01,S3,WU04,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S3_WU04_R_02,S3,WU04,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
