subject_id,session_name,victimized,n_kinfc,alternates,event_validation,n_cycles,n_left_cycles,n_right_cycles,n_pass,n_pass_with_warnings,n_fail,n_usable_lower_body,n_normalized_ok
S17,WU9,N,7,True,PASS,5,3,2,5,0,0,5,5
S19,WU02,Y,3,True,PASS,1,1,0,1,0,0,1,1
S19,WU03,Y,4,True,PASS,2,1,1,2,0,0,2,2
S19,WU04,Y,3,True,PASS,1,1,0,1,0,0,1,1
S19,WU05,Y,2,True,PASS,0,0,0,0,0,0,0,0
S23,WU01,N,7,True,PASS,5,3,2,5,0,0,5,5
S23,WU02,N,7,True,PASS,5,2,3,5,0,0,5,5
S23,WU03,N,6,True,PASS,4,2,2,4,0,0,4,4
S23,WU04,N,7,True,PASS,5,3,2,5,0,0,5,5
S23,WU05,N,6,True,PASS,4,2,2,4,0,0,4,4
S23,WU06,N,6,True,PASS,4,2,2,4,0,0,4,4
S23,WU07,N,7,True,PASS,5,3,2,5,0,0,5,5
S23,WU08,N,6,True,PASS,4,2,2,4,0,0,4,4
S23,WU09,N,7,True,PASS,5,2,3,5,0,0,5,5
S26,WU01,Y,7,True,PASS,5,3,2,5,0,0,5,5
S26,WU02,Y,8,True,PASS,6,3,3,6,0,0,6,6
S26,WU03,Y,5,True,PASS,3,1,2,3,0,0,3,3
S26,WU04,Y,7,True,PASS,5,2,3,5,0,0,5,5
S26,WU05,Y,6,True,PASS,4,2,2,4,0,0,4,4
S26,WU06,Y,8,True,PASS,6,3,3,6,0,0,6,6
S26,WU07,Y,7,True,PASS,5,3,2,5,0,0,5,5
S26,WU08,Y,7,True,PASS,5,3,2,5,0,0,5,5
S26,WU09,Y,7,True,PASS,5,2,3,5,0,0,5,5
S27,WU01,Y,6,True,PASS,4,2,2,4,0,0,4,4
S27,WU02,Y,5,True,PASS,3,2,1,3,0,0,3,3
S27,WU03,Y,4,True,PASS,2,1,1,2,0,0,2,2
S27,WU04,Y,5,True,PASS,3,2,1,3,0,0,3,3
S27,WU05,Y,6,True,PASS,4,2,2,4,0,0,4,4
S27,WU06,Y,6,True,PASS,4,2,2,4,0,0,4,4
S27,WU07,Y,7,True,PASS,5,3,2,5,0,0,5,5
S27,WU08,Y,5,True,PASS,3,2,1,3,0,0,3,3
S27,WU09,Y,7,True,PASS,5,3,2,5,0,0,5,5
S27,WU10,Y,5,True,PASS,3,2,1,3,0,0,3,3
S30,WU02,N,2,True,PASS,0,0,0,0,0,0,0,0
S30,WU04,N,4,True,PASS,2,1,1,2,0,0,2,2
S30,WU05,N,2,True,PASS,0,0,0,0,0,0,0,0
S30,WU06,N,3,True,PASS,1,0,1,1,0,0,1,1
S30,WU07,N,2,True,PASS,0,0,0,0,0,0,0,0
S31,WU01,Y,6,True,PASS,4,2,2,4,0,0,4,4
S31,WU02,Y,7,True,PASS,5,3,2,5,0,0,5,5
S31,WU05,Y,2,True,PASS,0,0,0,0,0,0,0,0
S31,WU06,Y,7,True,PASS,5,3,2,5,0,0,5,5
S31,WU07,Y,6,True,PASS,4,2,2,4,0,0,4,4
S31,WU08,Y,7,True,PASS,5,2,3,5,0,0,5,5
S31,WU10,Y,6,True,PASS,4,2,2,4,0,0,4,4
S31,WU11,Y,6,True,PASS,4,2,2,4,0,0,4,4
S31,WU13,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU01,Y,3,True,PASS,1,0,1,1,0,0,1,1
S32,WU02,Y,3,True,PASS,1,1,0,1,0,0,1,1
S32,WU03,Y,2,True,PASS,0,0,0,0,0,0,0,0
S32,WU04,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU05,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU06,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU07,Y,3,True,PASS,1,1,0,1,0,0,1,1
S32,WU08,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU09,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU10,Y,4,True,PASS,2,1,1,2,0,0,2,2
S32,WU11,Y,3,True,PASS,1,1,0,1,0,0,1,1
S34,WU01,Y,5,True,PASS,3,1,2,3,0,0,3,3
S34,WU02,Y,6,True,PASS,4,2,2,4,0,0,4,4
S34,WU03,Y,6,True,PASS,4,2,2,4,0,0,4,4
S34,WU04,Y,7,True,PASS,5,2,3,5,0,0,5,5
S34,WU05,Y,5,True,PASS,3,2,1,3,0,0,3,3
S34,WU06,Y,5,True,PASS,3,2,1,3,0,0,3,3
S34,WU08,Y,7,True,PASS,5,3,2,5,0,0,5,5
S34,WU11,Y,6,True,PASS,4,2,2,4,0,0,4,4
