subject_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
S3,7.429771583157062,10.695226140410847,11.641175776912497,1.4073557497401552,-0.9499925181184682,-0.7104529812201265,3.5781437984808604,3.3796260698453917,-0.9527420988032491,0.24402657443151346,-0.6420328227319363,0.22674463614499268,-0.3295481107364428,-0.7675546495003873,0.37609719758150995,-0.9266776923239203,-0.1791717453921204,0.10771893594058012,0.3062313425654876,-0.020109146553840985,0.21637015729355608,-0.5967885746041858,0.06754762262202024,-0.006246763011594998,0.07469030457054869,-0.03149583382114476,0.03178313171550571
S30,-33.44935235363422,-10.311593537305066,5.295543340075373,-4.353516562813509,-6.464157304351654,-2.847630576206886,5.07323576916502,4.194804036049287,0.8668990390344287,0.4054007044119205,-0.22306046133034926,-0.1415799761907286,-0.20171759954010443,0.2325957815694759,-0.5034928863422525,0.23857695033508453,-0.02917133548671947,-0.2048890326770557,-0.09184137169233915,-0.2914535327526874,-0.004204043155729417,0.12881469325148623,-0.0329939952313263,0.031314637514044105,-0.06749189665208054,-0.03313075427631915,-0.004645232829212716
S31,-2.3524684167243852,-1.3407528035667646,-1.6612362264843648,-1.4229298527090268,-1.6673217990009281,0.5637345184083734,-2.1396262200187275,-0.4699325548318867,-1.637360460356488,-0.12628362583452257,-0.7075157950478691,-1.7947040059635015,0.4410397424249767,0.39092825697010003,-0.5106303562980337,0.09813377698021995,-1.1457016252473615,-0.7413903454598707,0.3079608377274568,0.38844610520455686,-0.33576721663040276,-0.041107138266676,-0.13523052512895056,0.07954410889624738,0.07823167946476271,0.10943841080006728,0.10465247696896425
S32,-5.292326021849651,-18.480373396126264,11.788451313921914,3.8515268417823365,11.207936706376824,11.150038488031289,3.13427875350038,-1.8872567727107188,-0.2744723004265575,0.31315059967506875,0.0755929359144984,0.06841926224171631,0.14787747886527727,-0.020028348282151227,0.1781868182426494,0.0009965071084763796,0.10016330794046688,0.0659187919428621,-0.0015510331930455245,0.07864462273662493,-0.0321723567373842,-0.0621768443471026,0.029397829054700262,-0.043861152301085345,0.02376645503709102,0.006984183362888666,0.00731610809433347
S34,-2.632243995111899,0.4609527852729512,-1.589547295152983,-0.9974483413133678,-1.0487999516745918,0.946689921803431,-3.529498636130357,-2.2402966594493385,4.344086478039526,-0.26679979313086255,-1.0163044552483353,0.049290691006708194,-0.5809576290184577,0.3908094374223952,0.5244230991662673,-0.27522200495979854,-0.5185531274105964,0.19911579585635855,-0.501819882482174,-0.08522272482937847,-0.5531040325992718,-0.2702925264454158,0.08995982617857952,-0.0408980824509022,-0.16149751685979685,-0.1116213641550084,0.04585537740278628
S35,18.071448658226853,2.401417121548836,-1.1387594079198888,-1.866017372969387,-3.1288907909334625,4.617529769419028,3.8709359590017707,-0.16702138293232993,0.5109243887772953,2.3158659856979043,-1.746462081823012,0.09743587747531399,-1.0077010510883175,1.044739887382138,-0.4254930314068657,0.3407293257105175,-0.17521317614095178,-0.4530683921910523,-0.2987995414572432,0.36495754674073305,0.5622306555255658,0.23301365281114006,0.24891698133587534,0.07846336203586873,-0.09531851228062296,0.009938192957304626,-0.015607589179182738
S37,-2.518077692093124,-0.4668580536867151,-1.8976052474240304,-1.1144199338804877,-1.5700119226824618,0.7714424376916729,-2.511271782858535,-1.5605360672802637,0.265264032352247,0.24685641451352877,-0.4818156788598223,0.6409840859575574,0.9899493944528365,0.26677441877918323,-0.2823354235488563,-0.2146144491974226,0.7727238363142198,-0.2602128309930917,0.3789282198535496,0.40070542148948085,0.339275988477281,-0.00877649887225454,-0.3242513798331402,-0.07843745825085227,0.18871043444016178,-0.11050386349447411,0.03216117718901254
S38,-2.3868888021096235,0.17061905140818312,-1.4517551555977726,-0.6490512207387076,-1.2430276588919593,1.1031175528049522,-2.1838230193434494,-1.2327154194025858,0.9912599842382614,-1.4609480444271359,0.31864539952510423,0.987054743128374,0.5273361185679163,-1.6271530713863542,-0.5293802073661237,0.7086651231799636,0.39834177735441206,0.29987212736796964,0.5155886072004401,-0.01197033131597403,0.32450458189993797,0.22474886689262777,0.169675105877697,0.03503548704212666,-0.15134260940852834,0.04804384174318063,0.0677118875424747
S39,-1.3869228072581714,11.511299889256339,11.431541668310965,1.7349244620825524,1.4730032689414807,-3.0434911504949254,-1.3736266168793791,-1.448083605592904,2.662197553724488,1.2705054315443338,-0.21834918796837727,-0.3298259124044821,0.8526719783507484,0.4014166901916992,-0.3028275484643834,0.3052023229242832,0.3589968625977864,-0.34344128394772294,0.6549558541576664,0.14688684103817115,-0.37563840419311667,0.09180967324131929,-0.09681423713933537,-0.08455997124039338,0.020307898362578083,0.02572063074557208,-0.08106298602649377
S4,-2.575837953212808,-1.5857709422752564,-5.905973011632584,10.926887208512895,-1.448939551451365,-6.432086766361393,6.91000042798347,-2.4207055097798107,0.6894587775790496,-1.5789506996530513,1.5215437347347325,-0.23067249406624793,-0.12591498624337696,1.3729886955491448,0.16299148152377416,0.06891650700321986,0.35250967819450457,-0.0614178784534362,-0.13235541371502987,-0.03816014858315072,0.24528387438043098,-0.1489786537344331,0.03469413673241328,-0.09833555696091607,0.16386381393281188,0.03771618201459048,0.0270220866793286
