feature,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift
LKneeAngles_ax1_phase_10_20_mean__median,0.2857142857142857,0.27601809954751133,0.2398190045248869,0.38461538461538464,1.0,0.09890109890109894
LKneeAngles_ax1_phase_20_30_rom__median,-0.21008403361344538,-0.22171945701357465,-0.2767857142857143,-0.1493212669683258,1.0,0.06670168067226892
LKneeAngles_ax1_phase_30_40_rom__median,0.16806722689075632,0.1583710407239819,0.11312217194570136,0.2579185520361991,1.0,0.0898513251454428
LKneeAngles_ax1_phase_40_50_mean__median,0.2184873949579832,0.22321428571428573,0.1583710407239819,0.29411764705882354,1.0,0.07563025210084034
LKneeAngles_ax1_phase_50_60_rom__median,-0.2689075630252101,-0.26785714285714285,-0.3665158371040724,-0.21266968325791855,1.0,0.0976082740788623
LKneeAngles_ax1_phase_60_70_rom__median,-0.14285714285714285,-0.13392857142857142,-0.21428571428571427,-0.08928571428571429,1.0,0.07142857142857142
LKneeAngles_ax1_phase_70_80_rom__median,-0.2184873949579832,-0.22171945701357465,-0.27601809954751133,-0.1583710407239819,1.0,0.0601163542340013
LKneeAngles_ax1_phase_80_90_rom__median,-0.15126050420168066,-0.14285714285714285,-0.2398190045248869,-0.08597285067873303,1.0,0.08855850032320622
RKneeAngles_ax1_phase_10_20_min__median,-0.1092436974789916,-0.10714285714285714,-0.19457013574660634,-0.04072398190045249,1.0,0.08532643826761474
RKneeAngles_ax1_phase_0_10_rom__median,-0.3865546218487395,-0.375,-0.49321266968325794,-0.3393665158371041,1.0,0.10665804783451843
RKneeAngles_ax1_phase_20_30_rom__median,-0.3949579831932773,-0.38461538461538464,-0.502262443438914,-0.34841628959276016,1.0,0.10730446024563672
RKneeAngles_ax1_phase_40_50_mean__median,0.16806722689075632,0.16071428571428573,0.10407239819004525,0.2579185520361991,1.0,0.0898513251454428
RKneeAngles_ax1_phase_50_60_min__median,0.21008403361344538,0.20361990950226244,0.1493212669683258,0.3031674208144796,1.0,0.09308338720103423
RKneeAngles_ax1_phase_50_60_rom__median,-0.19327731092436976,-0.1875,-0.2850678733031674,-0.13122171945701358,1.0,0.09179056237879765
RKneeAngles_ax1_phase_70_80_rom__median,-0.23529411764705882,-0.248868778280543,-0.29464285714285715,-0.17647058823529413,1.0,0.05934873949579833
RKneeAngles_ax1_phase_90_100_mean__median,0.29411764705882354,0.2857142857142857,0.2398190045248869,0.3936651583710407,1.0,0.09954751131221717
LAnkleAngles_ax1_phase_70_80_min__median,0.14285714285714285,0.14027149321266968,0.07692307692307693,0.23076923076923078,1.0,0.08791208791208793
LAnkleAngles_ax1_phase_0_10_min__median,0.16806722689075632,0.16964285714285715,0.10407239819004525,0.22321428571428573,1.0,0.06399482870071106
LAnkleAngles_ax1_phase_0_10_rom__median,-0.17647058823529413,-0.16071428571428573,-0.2669683257918552,-0.13122171945701358,1.0,0.09049773755656107
LAnkleAngles_ax1_phase_10_20_mean__median,0.16806722689075632,0.14285714285714285,0.10407239819004525,0.2579185520361991,1.0,0.0898513251454428
LAnkleAngles_ax1_phase_10_20_min__median,0.15126050420168066,0.1583710407239819,0.08597285067873303,0.2398190045248869,1.0,0.08855850032320622
LAnkleAngles_ax1_phase_10_20_max__median,0.1092436974789916,0.10714285714285714,0.05357142857142857,0.17857142857142858,1.0,0.06932773109243698
LAnkleAngles_ax1_phase_10_20_rom__median,-0.1092436974789916,-0.11607142857142858,-0.18552036199095023,-0.049773755656108594,1.0,0.07627666451195864
LAnkleAngles_ax1_phase_50_60_max__median,-0.07563025210084033,-0.08035714285714286,-0.14285714285714285,-0.017857142857142856,1.0,0.06722689075630252
LAnkleAngles_ax1_phase_30_40_rom__median,0.01680672268907563,0.0,-0.049773755656108594,0.08597285067873303,0.3548387096774194,0.0691661279896574
LAnkleAngles_ax1_phase_40_50_rom__median,-0.46218487394957986,-0.4479638009049774,-0.5565610859728507,-0.42857142857142855,1.0,0.09437621202327084
LAnkleAngles_ax1_phase_50_60_min__median,0.04201680672268908,0.044642857142857144,-0.03167420814479638,0.10407239819004525,0.7741935483870968,0.07369101486748546
LAnkleAngles_ax1_phase_50_60_rom__median,-0.2857142857142857,-0.27601809954751133,-0.3665158371040724,-0.2398190045248869,1.0,0.08080155138978667
LAnkleAngles_ax1_phase_60_70_min__median,0.10084033613445378,0.08928571428571429,0.04072398190045249,0.18552036199095023,1.0,0.08468002585649645
LAnkleAngles_ax1_phase_60_70_max__median,0.05042016806722689,0.0625,-0.02262443438914027,0.10714285714285714,0.8064516129032258,0.07304460245636717
LAnkleAngles_ax1_phase_60_70_rom__median,-0.14285714285714285,-0.13392857142857142,-0.23076923076923078,-0.09502262443438914,1.0,0.08791208791208793
LAnkleAngles_ax1_phase_70_80_rom__median,-0.20168067226890757,-0.1875,-0.2767857142857143,-0.15178571428571427,1.0,0.07510504201680673
