feature,observed_cliffs_delta,perm_p,n_perm,unit
RKneeAngles_ax1_phase_90_100_mean__median,0.29411764705882354,0.178,999,subject
LAnkleAngles_ax1_phase_70_80_min__median,0.14285714285714285,0.494,999,subject
LAnkleAngles_ax1_phase_0_10_min__median,0.16806722689075632,0.465,999,subject
LAnkleAngles_ax1_phase_0_10_rom__median,-0.17647058823529413,0.424,999,subject
LAnkleAngles_ax1_phase_10_20_mean__median,0.16806722689075632,0.423,999,subject
LAnkleAngles_ax1_phase_10_20_min__median,0.15126050420168066,0.479,999,subject
LAnkleAngles_ax1_phase_10_20_max__median,0.1092436974789916,0.613,999,subject
LAnkleAngles_ax1_phase_10_20_rom__median,-0.1092436974789916,0.63,999,subject
LAnkleAngles_ax1_phase_50_60_max__median,-0.07563025210084033,0.745,999,subject
LAnkleAngles_ax1_phase_30_40_rom__median,0.01680672268907563,0.947,999,subject
LAnkleAngles_ax1_phase_40_50_rom__median,-0.46218487394957986,0.037,999,subject
LAnkleAngles_ax1_phase_50_60_min__median,0.04201680672268908,0.861,999,subject
LAnkleAngles_ax1_phase_50_60_rom__median,-0.2857142857142857,0.193,999,subject
LAnkleAngles_ax1_phase_60_70_min__median,0.10084033613445378,0.639,999,subject
LAnkleAngles_ax1_phase_60_70_max__median,0.05042016806722689,0.848,999,subject
LAnkleAngles_ax1_phase_60_70_rom__median,-0.14285714285714285,0.487,999,subject
LAnkleAngles_ax1_phase_70_80_rom__median,-0.20168067226890757,0.351,999,subject
LAnkleAngles_ax1_phase_80_90_rom__median,-0.09243697478991597,0.677,999,subject
LAnkleAngles_ax1_phase_90_100_rom__median,-0.33613445378151263,0.125,999,subject
RAnkleAngles_ax1_phase_90_100_max__median,0.01680672268907563,0.955,999,subject
RAnkleAngles_ax1_phase_0_10_rom__median,0.04201680672268908,0.855,999,subject
RAnkleAngles_ax1_phase_10_20_mean__median,-0.01680672268907563,0.955,999,subject
RAnkleAngles_ax1_phase_20_30_min__median,0.1092436974789916,0.593,999,subject
RAnkleAngles_ax1_phase_10_20_max__median,0.058823529411764705,0.791,999,subject
RAnkleAngles_ax1_phase_10_20_rom__median,-0.12605042016806722,0.569,999,subject
RAnkleAngles_ax1_phase_20_30_rom__median,-0.13445378151260504,0.503,999,subject
RAnkleAngles_ax1_phase_30_40_rom__median,0.16806722689075632,0.444,999,subject
RAnkleAngles_ax1_phase_40_50_rom__median,0.06722689075630252,0.765,999,subject
RAnkleAngles_ax1_phase_50_60_min__median,0.29411764705882354,0.193,999,subject
RAnkleAngles_ax1_phase_50_60_rom__median,-0.025210084033613446,0.924,999,subject
RAnkleAngles_ax1_phase_70_80_min__median,0.08403361344537816,0.689,999,subject
RAnkleAngles_ax1_phase_60_70_max__median,0.19327731092436976,0.371,999,subject
RAnkleAngles_ax1_phase_60_70_rom__median,0.09243697478991597,0.669,999,subject
RAnkleAngles_ax1_phase_70_80_rom__median,0.058823529411764705,0.8,999,subject
RAnkleAngles_ax1_phase_80_90_min__median,0.03361344537815126,0.878,999,subject
RAnkleAngles_ax1_phase_80_90_rom__median,0.17647058823529413,0.403,999,subject
RAnkleAngles_ax1_phase_90_100_rom__median,-0.226890756302521,0.307,999,subject
coord_left_hip_knee_ax1_corr__median,0.01680672268907563,0.953,999,subject
coord_left_knee_ankle_ax1_corr__median,0.10084033613445378,0.676,999,subject
coord_left_knee_ankle_ax1_lag_pct__median,-0.008403361344537815,0.986,999,subject
coord_right_hip_knee_ax1_corr__median,0.2184873949579832,0.3,999,subject
coord_right_knee_ankle_ax1_corr__median,-0.025210084033613446,0.908,999,subject
coord_right_knee_ankle_ax1_lag_pct__median,0.21428571428571427,0.327,999,subject
COM_msjerk__median,0.2773109243697479,0.2,999,subject
RKneeAngles_ax1_msjerk__median,0.3277310924369748,0.136,999,subject
sym_HipAngles_ax1_rom_absdiff,-0.33613445378151263,0.136,999,subject
sym_HipAngles_ax1_rom_si,-0.3025210084033613,0.164,999,subject
sym_HipAngles_ax1_max_absdiff,-0.14285714285714285,0.544,999,subject
sym_HipAngles_ax1_max_si,-0.3277310924369748,0.135,999,subject
sym_HipAngles_ax1_tmax_pct_absdiff,-0.4117647058823529,0.051,999,subject
sym_HipAngles_ax1_tmax_pct_si,-0.2689075630252101,0.225,999,subject
sym_KneeAngles_ax1_rom_absdiff,-0.06722689075630252,0.758,999,subject
sym_KneeAngles_ax1_rom_si,-0.07563025210084033,0.763,999,subject
sym_KneeAngles_ax1_max_absdiff,0.0,1.0,999,subject
sym_KneeAngles_ax1_max_si,0.008403361344537815,0.976,999,subject
sym_KneeAngles_ax1_tmax_pct_absdiff,-0.07563025210084033,0.706,999,subject
sym_KneeAngles_ax1_tmax_pct_si,-0.22268907563025211,0.28,999,subject
sym_AnkleAngles_ax1_rom_absdiff,-0.12605042016806722,0.576,999,subject
sym_AbsAnkleAngle_ax1_rom_si,-0.058823529411764705,0.787,999,subject
sym_AnkleAngles_ax1_max_absdiff,-0.008403361344537815,0.985,999,subject
sym_AnkleAngles_ax1_max_si,-0.025210084033613446,0.914,999,subject
sym_AnkleAngles_ax1_tmax_pct_absdiff,-0.037815126050420166,0.851,999,subject
sym_AnkleAngles_ax1_tmax_pct_si,-0.3277310924369748,0.105,999,subject
sym_AbsAnkleAngle_ax1_rom_absdiff,-0.1092436974789916,0.635,999,subject
sym_AbsAnkleAngle_ax1_max_absdiff,0.15126050420168066,0.499,999,subject
sym_AbsAnkleAngle_ax1_max_si,0.058823529411764705,0.793,999,subject
sym_AbsAnkleAngle_ax1_tmax_pct_absdiff,0.1134453781512605,0.602,999,subject
sym_AbsAnkleAngle_ax1_tmax_pct_si,-0.08823529411764706,0.681,999,subject
sym_FootProgressAngles_ax1_rom_absdiff,-0.025210084033613446,0.918,999,subject
sym_FootProgressAngles_ax1_rom_si,-0.25210084033613445,0.26,999,subject
sym_FootProgressAngles_ax1_max_absdiff,0.20168067226890757,0.337,999,subject
sym_FootProgressAngles_ax1_max_si,-0.18487394957983194,0.405,999,subject
sym_FootProgressAngles_ax1_tmax_pct_absdiff,-0.29411764705882354,0.147,999,subject
sym_FootProgressAngles_ax1_tmax_pct_si,-0.046218487394957986,0.86,999,subject
sym_ASI_ax1_excursion_absdiff,0.19327731092436976,0.398,999,subject
sym_ASI_path3d_si,0.08403361344537816,0.694,999,subject
sym_KJC_ax1_excursion_absdiff,-0.07563025210084033,0.719,999,subject
sym_KJC_ax1_excursion_si,0.04201680672268908,0.866,999,subject
sym_KJC_path3d_absdiff,0.04201680672268908,0.853,999,subject
sym_KJC_path3d_si,0.0,1.0,999,subject
sym_AJC_ax1_excursion_absdiff,0.226890756302521,0.288,999,subject
sym_TOE_path3d_si,0.07563025210084033,0.721,999,subject
