subject_id,session_name,session_type,name_pattern,is_irregular_name,frame_count,sampling_rate,has_kinematics,has_events,has_res,marker_count,joint_angle_count,joint_center_count,com_count,segment_com_count,kinematics_field_count,valid,exclusion_reason
S11,static,static,static,False,77,100,True,False,False,37,26,0,0,0,63,True,nans:C7|nans:RNeckAngles|nans:LNeckAngles|nans:RSpineAngles|nans:LSpineAngles|nans:LShoulderAngles|nans:LElbowAngles|nans:LWristAngles|nans:RShoulderAngles|nans:RElbowAngles|nans:RWristAngles|nans:RThoraxAngles|nans:LThoraxAngles
S12,WK01Copy,wk_copy,WK*Copy,True,340,100,True,False,False,37,26,6,2,15,86,True,
S12,WK02Copy,wk_copy,WK*Copy,True,330,100,True,False,False,37,26,6,2,15,86,True,
S12,WK04Copy,wk_copy,WK*Copy,True,262,100,True,False,False,37,26,6,2,15,86,True,nans:LTHI|nans:LHipAngles|nans:LKneeAngles|nans:LAbsAnkleAngle|nans:LAnkleAngles|nans:LFootProgressAngles|nans:LKJC|nans:LAJC|nans:LeftFemurCOM|nans:LeftTibiaCOM|nans:LeftFootCOM|nans:CentreOfMass|nans:CentreOfMassFloor
S12,WK05Copy,wk_copy,WK*Copy,True,275,100,True,False,False,37,26,6,2,15,86,True,
S12,WK06Copy,wk_copy,WK*Copy,True,291,100,True,False,False,37,26,6,2,15,86,True,
S12,WK07Copy,wk_copy,WK*Copy,True,288,100,True,False,False,37,26,6,2,15,86,True,
S12,WK08Copy,wk_copy,WK*Copy,True,290,100,True,False,False,37,26,6,2,15,86,True,
S12,WK09Copy,wk_copy,WK*Copy,True,312,100,True,False,False,37,26,6,2,15,86,True,
S12,WK10Copy,wk_copy,WK*Copy,True,263,100,True,False,False,37,26,6,2,15,86,True,
S12,WK11Copy,wk_copy,WK*Copy,True,249,100,True,False,False,37,26,6,2,15,86,True,
S12,WU01Copy,walking,WU*Copy,True,261,100,True,True,True,37,26,6,2,15,86,True,
S12,WU02Copy,walking,WU*Copy,True,146,100,True,True,True,37,26,6,2,15,86,True,
S12,WU03Copy,walking,WU*Copy,True,266,100,True,True,True,37,26,6,2,15,86,True,
S12,WU04Copy,walking,WU*Copy,True,252,100,True,True,True,37,26,6,2,15,86,True,
S12,WU05Copy,walking,WU*Copy,True,274,100,True,True,True,37,26,6,2,15,86,True,
S12,WU07Copy,walking,WU*Copy,True,301,100,True,True,True,37,26,6,2,15,86,True,
S12,WU08Copy,walking,WU*Copy,True,316,100,True,True,True,37,26,6,2,15,86,True,
S12,staticCopy,static,staticCopy,True,100,100,True,False,False,37,26,0,0,0,63,True,nans:LSHO|nans:LUPA|nans:LShoulderAngles|nans:LElbowAngles|nans:LWristAngles
S13,WU01,walking,WU##,False,289,100,True,True,True,37,26,6,2,15,86,True,
S13,WU02,walking,WU##,False,264,100,True,True,True,37,26,6,2,15,86,True,
S13,WU03,walking,WU##,False,273,100,True,True,True,37,26,6,2,15,86,True,
S13,WU04,walking,WU##,False,262,100,True,True,True,37,26,6,2,15,86,True,
S13,WU08,walking,WU##,False,320,100,True,True,True,37,26,6,2,15,86,True,
S13,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S14,WU01,walking,WU##,False,285,100,True,True,True,37,26,6,2,15,86,False,nans:LKneeAngles|nans:LAbsAnkleAngle|nans:LAnkleAngles|nans:LFootProgressAngles|nans:CentreOfMass|nans:CentreOfMassFloor|nans:LAJC|nans:LeftTibiaCOM|nans:LeftFootCOM
S14,WU03,walking,WU##,False,246,100,True,True,True,37,26,6,2,15,86,True,
S14,WU04,walking,WU##,False,209,100,True,True,True,37,26,6,2,15,86,True,
S14,WU05,walking,WU##,False,359,100,True,True,True,37,26,6,2,15,86,True,
S14,WU06,walking,WU##,False,302,100,True,True,True,37,26,6,2,15,86,True,
S14,WU07,walking,WU##,False,359,100,True,True,True,37,26,6,2,15,86,True,
S14,WU08,walking,WU##,False,383,100,True,True,True,37,26,6,2,15,86,True,
S14,WU09,walking,WU##,False,343,100,True,True,True,37,26,6,2,15,86,True,
S14,static,static,static,False,89,100,True,False,False,37,26,0,0,0,63,True,
S15,WU01,walking,WU##,False,353,100,True,True,True,37,26,6,2,15,86,True,
S15,WU02,walking,WU##,False,340,100,True,True,True,37,26,6,2,15,86,True,
S15,WU03,walking,WU##,False,329,100,True,True,True,37,26,6,2,15,86,True,
S15,WU04,walking,WU##,False,312,100,True,True,True,37,26,6,2,15,86,True,
S15,WU05,walking,WU##,False,327,100,True,True,True,37,26,6,2,15,86,True,
S15,WU06,walking,WU##,False,331,100,True,True,True,37,26,6,2,15,86,True,
S15,WU07,walking,WU##,False,377,100,True,True,True,37,26,6,2,15,86,True,
S15,WU08,walking,WU##,False,384,100,True,True,True,37,26,6,2,15,86,True,
S15,WU10,walking,WU##,False,302,100,True,True,True,37,26,6,2,15,86,True,
S15,static,static,static,False,70,100,True,False,False,37,26,0,0,0,63,True,
S17,WU0,walking,WU_noncanonical,True,340,100,True,True,True,37,26,6,2,15,86,True,
S17,WU11,walking,WU##,False,375,100,True,True,True,37,26,6,2,15,86,True,
S17,WU13,walking,WU##,False,368,100,True,True,True,37,26,6,2,15,86,True,
S17,WU3,walking,WU_noncanonical,True,356,100,True,True,True,37,26,6,2,15,86,True,
S17,WU4,walking,WU_noncanonical,True,326,100,True,True,True,37,26,6,2,15,86,True,
S17,WU5,walking,WU_noncanonical,True,340,100,True,True,True,37,26,6,2,15,86,True,
S17,WU6,walking,WU_noncanonical,True,300,100,True,True,True,37,26,6,2,15,86,True,
S17,WU7,walking,WU_noncanonical,True,320,100,True,True,True,37,26,6,2,15,86,True,
S17,WU9,walking,WU_noncanonical,True,372,100,True,True,True,37,26,6,2,15,86,True,
S17,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S19,WU02,walking,WU##,False,214,100,True,True,True,37,26,6,2,15,86,True,
S19,WU03,walking,WU##,False,224,100,True,True,True,37,26,6,2,15,86,False,nans:RFRM
S19,WU04,walking,WU##,False,179,100,True,True,True,37,26,6,2,15,86,True,
S19,WU05,walking,WU##,False,168,100,True,True,True,37,26,6,2,15,86,True,
S19,static,static,static,False,23,100,True,False,False,37,26,0,0,0,63,True,
S23,WU01,walking,WU##,False,313,100,True,True,True,37,26,6,2,15,86,True,
S23,WU02,walking,WU##,False,349,100,True,True,True,37,26,6,2,15,86,True,
S23,WU03,walking,WU##,False,297,100,True,True,True,37,26,6,2,15,86,True,
S23,WU04,walking,WU##,False,330,100,True,True,True,37,26,6,2,15,86,True,
S23,WU05,walking,WU##,False,302,100,True,True,True,37,26,6,2,15,86,True,
S23,WU06,walking,WU##,False,300,100,True,True,True,37,26,6,2,15,86,True,
S23,WU07,walking,WU##,False,346,100,True,True,True,37,26,6,2,15,86,True,
S23,WU08,walking,WU##,False,370,100,True,True,True,37,26,6,2,15,86,True,
S23,WU09,walking,WU##,False,351,100,True,True,True,37,26,6,2,15,86,True,
S23,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S26,WU01,walking,WU##,False,317,100,True,True,True,37,26,6,2,15,86,True,
S26,WU02,walking,WU##,False,439,100,True,True,True,37,26,6,2,15,86,True,
S26,WU03,walking,WU##,False,293,100,True,True,True,37,26,6,2,15,86,True,
S26,WU04,walking,WU##,False,327,100,True,True,True,37,26,6,2,15,86,True,
S26,WU05,walking,WU##,False,300,100,True,True,True,37,26,6,2,15,86,True,
S26,WU06,walking,WU##,False,364,100,True,True,True,37,26,6,2,15,86,True,
S26,WU07,walking,WU##,False,460,100,True,True,True,37,26,6,2,15,86,True,
S26,WU08,walking,WU##,False,358,100,True,True,True,37,26,6,2,15,86,True,
S26,WU09,walking,WU##,False,391,100,True,True,True,37,26,6,2,15,86,True,
S26,static,static,static,False,64,100,True,False,False,37,26,0,0,0,63,True,
S27,WU01,walking,WU##,False,267,100,True,True,True,37,26,6,2,15,86,True,
S27,WU02,walking,WU##,False,264,100,True,True,True,37,26,6,2,15,86,True,
S27,WU03,walking,WU##,False,253,100,True,True,True,37,26,6,2,15,86,True,
S27,WU04,walking,WU##,False,265,100,True,True,True,37,26,6,2,15,86,True,
S27,WU05,walking,WU##,False,303,100,True,True,True,37,26,6,2,15,86,True,
S27,WU06,walking,WU##,False,284,100,True,True,True,37,26,6,2,15,86,True,
S27,WU07,walking,WU##,False,349,100,True,True,True,37,26,6,2,15,86,True,
S27,WU08,walking,WU##,False,305,100,True,True,True,37,26,6,2,15,86,True,
S27,WU09,walking,WU##,False,335,100,True,True,True,37,26,6,2,15,86,True,
S27,WU10,walking,WU##,False,309,100,True,True,True,37,26,6,2,15,86,True,
S27,static,static,static,False,31,100,True,False,False,37,26,0,0,0,63,True,
S30,WU02,walking,WU##,False,117,100,True,True,True,36,26,6,2,15,85,False,missing_markers
S30,WU04,walking,WU##,False,243,100,True,True,True,37,26,6,2,15,86,True,
S30,WU05,walking,WU##,False,156,100,True,True,True,36,26,6,2,15,85,False,missing_markers
S30,WU06,walking,WU##,False,186,100,True,True,True,36,26,6,2,15,85,False,missing_markers
S30,WU07,walking,WU##,False,171,100,True,True,True,36,26,6,2,15,85,False,missing_markers
S30,static,static,static,False,11,100,True,False,False,36,26,0,0,0,62,True,
S31,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S31,WU01,walking,WU##,False,375,100,True,True,True,37,26,6,2,15,86,True,
S31,WU02,walking,WU##,False,415,100,True,True,True,37,26,6,2,15,86,True,
S31,WU05,walking,WU##,False,131,100,True,True,True,37,26,6,2,15,86,True,
S31,WU06,walking,WU##,False,399,100,True,True,True,37,26,6,2,15,86,True,
S31,WU07,walking,WU##,False,371,100,True,True,True,37,26,6,2,15,86,True,
S31,WU08,walking,WU##,False,400,100,True,True,True,37,26,6,2,15,86,True,
S31,WU10,walking,WU##,False,359,100,True,True,True,37,26,6,2,15,86,True,
S31,WU11,walking,WU##,False,411,100,True,True,True,37,26,6,2,15,86,True,
S31,WU13,walking,WU##,False,247,100,True,True,True,37,26,6,2,15,86,True,
S32,WU01,walking,WU##,False,183,100,True,True,True,37,26,6,2,15,86,True,
S32,WU02,walking,WU##,False,190,100,True,True,True,37,26,6,2,15,86,True,
S32,WU03,walking,WU##,False,178,100,True,True,True,37,26,6,2,15,86,False,nans:LFIN|nans:LWristAngles|nans:CentreOfMass|nans:CentreOfMassFloor|nans:LeftHandCOM
S32,WU04,walking,WU##,False,220,100,True,True,True,37,26,6,2,15,86,True,
S32,WU05,walking,WU##,False,225,100,True,True,True,37,26,6,2,15,86,True,
S32,WU06,walking,WU##,False,230,100,True,True,True,37,26,6,2,15,86,True,
S32,WU07,walking,WU##,False,185,100,True,True,True,37,26,6,2,15,86,True,
S32,WU08,walking,WU##,False,229,100,True,True,True,37,26,6,2,15,86,True,
S32,WU09,walking,WU##,False,196,100,True,True,True,37,26,6,2,15,86,True,
S32,WU10,walking,WU##,False,255,100,True,True,True,37,26,6,2,15,86,True,
S32,WU11,walking,WU##,False,201,100,True,True,True,37,26,6,2,15,86,True,
S32,static,static,static,False,23,100,True,False,False,37,26,0,0,0,63,True,
S34,WU01,walking,WU##,False,290,100,True,True,True,37,26,6,2,15,86,True,
S34,WU02,walking,WU##,False,333,100,True,True,True,37,26,6,2,15,86,True,
S34,WU03,walking,WU##,False,262,100,True,True,True,37,26,6,2,15,86,True,
S34,WU04,walking,WU##,False,324,100,True,True,True,37,26,6,2,15,86,True,
S34,WU05,walking,WU##,False,268,100,True,True,True,37,26,6,2,15,86,True,
S34,WU06,walking,WU##,False,260,100,True,True,True,37,26,6,2,15,86,True,
S34,WU08,walking,WU##,False,325,100,True,True,True,37,26,6,2,15,86,True,
S34,WU11,walking,WU##,False,322,100,True,True,True,37,26,6,2,15,86,True,
S34,WU12,walking,WU##,False,325,100,True,True,True,37,26,6,2,15,86,True,
S34,static,static,static,False,92,100,True,False,False,37,26,0,0,0,63,True,
S35,WU01,walking,WU##,False,255,100,True,True,True,37,26,6,2,15,86,True,
S35,WU02,walking,WU##,False,178,100,True,True,True,37,26,6,2,15,86,True,
S35,WU03,walking,WU##,False,216,100,True,True,True,37,26,6,2,15,86,True,
S35,WU04,walking,WU##,False,193,100,True,True,True,37,26,6,2,15,86,True,
S35,WU05,walking,WU##,False,233,100,True,True,True,37,26,6,2,15,86,True,
S35,WU06,walking,WU##,False,171,100,True,True,True,37,26,6,2,15,86,True,
S35,WU07,walking,WU##,False,171,100,True,True,True,37,26,6,2,15,86,True,
S35,WU08,walking,WU##,False,184,100,True,True,True,37,26,6,2,15,86,True,
S35,WU09,walking,WU##,False,280,100,True,True,True,37,26,6,2,15,86,True,
S35,WU10,walking,WU##,False,278,100,True,True,True,37,26,6,2,15,86,True,
S35,WU11,walking,WU##,False,233,100,True,True,True,37,26,6,2,15,86,True,
S35,WU12,walking,WU##,False,253,100,True,True,True,37,26,6,2,15,86,True,
S35,static,static,static,False,69,100,True,False,False,37,26,0,0,0,63,True,
S37,WU01,walking,WU##,False,320,100,True,True,True,37,26,6,2,15,86,True,
S37,WU02,walking,WU##,False,325,100,True,True,True,37,26,6,2,15,86,True,
S37,WU03,walking,WU##,False,251,100,True,True,True,37,26,6,2,15,86,True,
S37,WU04,walking,WU##,False,347,100,True,True,True,37,26,6,2,15,86,True,
S37,WU05,walking,WU##,False,304,100,True,True,True,37,26,6,2,15,86,True,
S37,WU06,walking,WU##,False,297,100,True,True,True,37,26,6,2,15,86,True,
S37,WU07,walking,WU##,False,329,100,True,True,True,37,26,6,2,15,86,True,
S37,WU08,walking,WU##,False,360,100,True,True,True,37,26,6,2,15,86,True,
S37,WU09,walking,WU##,False,373,100,True,True,True,37,26,6,2,15,86,True,
S37,static,static,static,False,79,100,True,False,False,37,26,0,0,0,63,True,
S38,WU01,walking,WU##,False,281,100,True,True,True,37,26,6,2,15,86,True,
S38,WU02,walking,WU##,False,317,100,True,True,True,37,26,6,2,15,86,True,
S38,WU03,walking,WU##,False,277,100,True,True,True,37,26,6,2,15,86,True,
S38,WU04,walking,WU##,False,283,100,True,True,True,37,26,6,2,15,86,True,
S38,WU05,walking,WU##,False,246,100,True,True,True,37,26,6,2,15,86,True,
S38,WU06,walking,WU##,False,275,100,True,True,True,37,26,6,2,15,86,True,
S38,WU07,walking,WU##,False,303,100,True,True,True,37,26,6,2,15,86,True,
S38,WU08,walking,WU##,False,343,100,True,True,True,37,26,6,2,15,86,True,
S38,WU09,walking,WU##,False,340,100,True,True,True,37,26,6,2,15,86,True,
S38,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S39,WU01,walking,WU##,False,445,100,True,True,True,37,26,6,2,15,86,True,
S39,WU02,walking,WU##,False,358,100,True,True,True,37,26,6,2,15,86,True,
S39,WU03,walking,WU##,False,281,100,True,True,True,37,26,6,2,15,86,True,
S39,WU04,walking,WU##,False,374,100,True,True,True,37,26,6,2,15,86,True,
S39,WU05,walking,WU##,False,325,100,True,True,True,37,26,6,2,15,86,True,
S39,WU06,walking,WU##,False,295,100,True,True,True,37,26,6,2,15,86,True,
S39,WU07,walking,WU##,False,341,100,True,True,True,37,26,6,2,15,86,True,
S39,WU08,walking,WU##,False,351,100,True,True,True,37,26,6,2,15,86,True,
S39,WU09,walking,WU##,False,323,100,True,True,True,37,26,6,2,15,86,True,
S39,WU10,walking,WU##,False,391,100,True,True,True,37,26,6,2,15,86,True,
S39,static,static,static,False,60,100,True,False,False,37,26,0,0,0,63,True,
S40,WU01,walking,WU##,False,370,100,True,True,True,37,26,6,2,15,86,True,
S40,WU02,walking,WU##,False,257,100,True,True,True,37,26,6,2,15,86,True,
S40,WU03,walking,WU##,False,290,100,True,True,True,37,26,6,2,15,86,True,
S40,WU04,walking,WU##,False,278,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S40,WU05,walking,WU##,False,296,100,True,True,True,37,26,6,2,15,86,True,
S40,WU07,walking,WU##,False,364,100,True,True,True,37,26,6,2,15,86,True,
S40,WU09,walking,WU##,False,334,100,True,True,True,37,26,6,2,15,86,True,
S40,WU11,walking,WU##,False,393,100,True,True,True,37,26,6,2,15,86,True,
S40,static,static,static,False,79,100,True,False,False,37,26,0,0,0,63,True,
S41,WU01,walking,WU##,False,314,100,True,True,True,37,26,6,2,15,86,True,
S41,WU02,walking,WU##,False,284,100,True,True,True,37,26,6,2,15,86,True,
S41,WU03,walking,WU##,False,201,100,True,True,True,37,26,6,2,15,86,True,
S41,WU04,walking,WU##,False,279,100,True,True,True,37,26,6,2,15,86,True,
S41,WU05,walking,WU##,False,281,100,True,True,True,37,26,6,2,15,86,True,
S41,WU06,walking,WU##,False,259,100,True,True,True,37,26,6,2,15,86,True,
S41,WU07,walking,WU##,False,302,100,True,True,True,37,26,6,2,15,86,True,
S41,WU08,walking,WU##,False,276,100,True,True,True,37,26,6,2,15,86,True,
S41,static,static,static,False,74,100,True,False,False,37,26,0,0,0,63,True,
S42,WU01,walking,WU##,False,421,100,True,True,True,37,26,6,2,15,86,True,
S42,WU02,walking,WU##,False,377,100,True,True,True,37,26,6,2,15,86,True,
S42,WU03,walking,WU##,False,400,100,True,True,True,37,26,6,2,15,86,True,
S42,WU04,walking,WU##,False,382,100,True,True,True,37,26,6,2,15,86,True,
S42,WU05,walking,WU##,False,415,100,True,True,True,37,26,6,2,15,86,True,
S42,WU08,walking,WU##,False,418,100,True,True,True,37,26,6,2,15,86,True,
S42,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S43,WU01,walking,WU##,False,290,100,True,True,True,37,26,6,2,15,86,True,
S43,WU02,walking,WU##,False,238,100,True,True,True,37,26,6,2,15,86,False,nans:RUPA
S43,WU03,walking,WU##,False,278,100,True,True,True,37,26,6,2,15,86,True,
S43,WU04,walking,WU##,False,236,100,True,True,True,37,26,6,2,15,86,True,
S43,WU05,walking,WU##,False,287,100,True,True,True,37,26,6,2,15,86,True,
S43,WU06,walking,WU##,False,254,100,True,True,True,37,26,6,2,15,86,True,
S43,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S46,WU01,walking,WU##,False,305,100,True,True,True,37,26,6,2,15,86,True,
S46,WU02,walking,WU##,False,327,100,True,True,True,37,26,6,2,15,86,True,
S46,WU03,walking,WU##,False,372,100,True,True,True,37,26,6,2,15,86,True,
S46,WU04,walking,WU##,False,194,100,True,True,True,37,26,6,2,15,86,True,
S46,WU05,walking,WU##,False,352,100,True,True,True,37,26,6,2,15,86,True,
S46,WU06,walking,WU##,False,292,100,True,True,True,37,26,6,2,15,86,True,
S46,WU08,walking,WU##,False,346,100,True,True,True,37,26,6,2,15,86,True,
S46,WU11,walking,WU##,False,378,100,True,True,True,37,26,6,2,15,86,True,
S46,WU14,walking,WU##,False,311,100,True,True,True,37,26,6,2,15,86,True,
S46,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S48,WU01,walking,WU##,False,276,100,True,True,True,37,26,6,2,15,86,True,
S48,WU02,walking,WU##,False,274,100,True,True,True,37,26,6,2,15,86,True,
S48,WU03,walking,WU##,False,265,100,True,True,True,37,26,6,2,15,86,True,
S48,WU04,walking,WU##,False,313,100,True,True,True,37,26,6,2,15,86,True,
S48,WU05,walking,WU##,False,236,100,True,True,True,37,26,6,2,15,86,True,
S48,WU07,walking,WU##,False,297,100,True,True,True,37,26,6,2,15,86,True,
S48,WU09,walking,WU##,False,294,100,True,True,True,37,26,6,2,15,86,True,
S48,WU10,walking,WU##,False,289,100,True,True,True,37,26,6,2,15,86,True,
S48,WU11,walking,WU##,False,284,100,True,True,True,37,26,6,2,15,86,True,
S48,WU12,walking,WU##,False,278,100,True,True,True,37,26,6,2,15,86,True,
S48,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
