feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank
LKneeAngles_ax1_phase_50_60_rom__median,31,17,14,10.78540900349617,13.221336841583252,10.861393377184868,11.923670300415584,2.435927838087082,-0.184242173637517,-0.2689075630252101,-0.7065880144555793,-0.7142857142857143,0.14285714285714285,small,VICTIMS_LOWER,0.8823529411764706,0.6428571428571429,87.0,0.2111652971287249,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.2689075630252101,-0.26785714285714285,-0.3665158371040724,-0.21266968325791855,1.0,0.0976082740788623,-0.2689075630252101,0.221,999,subject,knee,phase,left,LKneeAngles,0.03203163618388531,exploratory,31
sym_HipAngles_ax1_rom_si,31,17,14,0.6312491299200761,3.2906219522103957,0.7486549280905583,3.6802306806601583,2.6593728222903197,-0.8081672282359723,-0.3025210084033613,-0.5431292921051418,-0.6638655462184874,0.11764705882352941,small,VICTIMS_LOWER,0.8235294117647058,0.7142857142857143,83.0,0.1587924654037347,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3025210084033613,-0.29464285714285715,-0.3936651583710407,-0.248868778280543,1.0,0.09114414996767939,-0.3025210084033613,0.164,999,subject,hip,symmetry,bilateral,LHipAngles|RHipAngles,0.03176470588235294,exploratory,32
RHipAngles_ax1_phase_50_60_rom__median,31,17,14,2.757620334625244,2.3743213415145874,2.7021768636563244,2.4148735957486287,0.38329899311065674,0.16143517998543072,0.3025210084033613,0.6299811340650348,-0.10084033613445378,0.6724789915966385,small,VICTIMS_HIGHER,0.7647058823529411,0.7857142857142857,155.0,0.1587924654037347,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3025210084033613,0.2857142857142857,0.248868778280543,0.38461538461538464,1.0,0.08209437621202331,0.3025210084033613,0.161,999,subject,hip,phase,right,RHipAngles,0.031230845279288186,exploratory,33
LAnkleAngles_ax1_min__median,31,17,14,-13.789246559143066,-17.235797882080078,-13.984889759736902,-16.69296247618539,3.4465513229370117,0.19996470987399798,0.31932773109243695,0.5208598410714378,-0.059033613445378136,0.6724789915966385,small,VICTIMS_HIGHER,0.6470588235294118,0.7142857142857143,157.0,0.13661042588145178,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.31932773109243695,0.3125,0.2669683257918552,0.42081447963800905,1.0,0.1014867485455721,0.31932773109243695,0.128,999,subject,ankle,kinematic,left,LAnkleAngles,0.030993573900148293,exploratory,34
LAnkleAngles_ax2_tpeak_vel_pct__median,31,17,14,45.0,39.75,45.1764705882353,36.67857142857143,5.25,0.1320754716981132,0.2857142857142857,0.16535433070866143,-0.12605042016806722,0.6555672268907562,small,VICTIMS_HIGHER,0.7058823529411765,0.5714285714285714,153.0,0.18262537707902482,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.2857142857142857,0.2857142857142857,0.23076923076923078,0.37104072398190047,1.0,0.08532643826761477,0.2857142857142857,0.178,999,subject,ankle,kinematic,left,LAnkleAngles,0.03025210084033613,exploratory,35
LFootProgressAngles_ax1_max__median,31,17,14,-16.543182373046875,-13.915430068969727,-16.42602482964011,-14.381860154015678,2.6277523040771484,-0.18883730442056704,-0.2857142857142857,-0.5037008956137565,-0.680672268907563,0.13445378151260504,small,VICTIMS_LOWER,0.7058823529411765,0.7142857142857143,85.0,0.18359867349944814,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.2857142857142857,-0.2767857142857143,-0.3665158371040724,-0.2398190045248869,1.0,0.08080155138978667,-0.2857142857142857,0.201,999,subject,foot,kinematic,left,LFootProgressAngles,0.03025210084033613,exploratory,36
RKneeAngles_ax1_msjerk__median,31,17,14,2957067023.55923,2093099022.7305312,3983905062.401385,2837113508.6991563,863968000.8286986,0.41276976934498677,0.3277310924369748,0.35402386617993514,-0.07563025210084033,0.6890756302521008,small,VICTIMS_HIGHER,0.7647058823529411,0.7142857142857143,158.0,0.12645617291148628,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3277310924369748,0.3125,0.2850678733031674,0.4107142857142857,1.0,0.08298319327731091,0.3277310924369748,0.136,999,subject,knee,smoothness,right,RKneeAngles,0.030074147305981215,exploratory,37
RKJC_ax3_excursion__median,31,17,14,96.98410034179688,92.95501708984375,97.36373811609604,90.91524832589286,4.029083251953125,0.04334444097900491,0.29411764705882354,0.24847891358111823,-0.15126050420168066,0.6556722689075628,small,VICTIMS_HIGHER,0.7058823529411765,0.7142857142857143,154.0,0.17085858498744178,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.29411764705882354,0.2857142857142857,0.25,0.38461538461538464,1.0,0.0904977375565611,0.29411764705882354,0.18,999,subject,knee,spatial,right,RKJC,0.029584775086505193,exploratory,38
LKneeAngles_ax1_phase_10_20_mean__median,31,17,14,32.060254859924314,30.246326160430907,35.00808171664967,31.532263510567795,1.813928699493406,0.059971868645205526,0.2857142857142857,0.1935350466131674,-0.15987394957983192,0.6722689075630253,small,VICTIMS_HIGHER,0.7647058823529411,0.6428571428571429,153.0,0.18359867349944814,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.2857142857142857,0.27601809954751133,0.2398190045248869,0.38461538461538464,1.0,0.09890109890109894,0.2857142857142857,0.187,999,subject,knee,phase,left,LKneeAngles,0.029495798319327728,exploratory,39
sym_AnkleAngles_ax1_tmax_pct_si,31,17,14,0.0,1.9424799622819424,6.8906206821456735,7.582902855737851,1.9424799622819424,-1.0,-0.3277310924369748,-0.3682320277273909,-0.6850840336134454,0.06302521008403361,small,VICTIMS_LOWER,0.7058823529411765,0.5714285714285714,80.0,0.12315851862396551,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3277310924369748,-0.32589285714285715,-0.4107142857142857,-0.2850678733031674,1.0,0.08298319327731091,-0.3277310924369748,0.105,999,subject,ankle,symmetry,bilateral,LAnkleAngles|RAnkleAngles,0.029495798319327728,exploratory,40
