feature,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,abs_median_diff,rel_median_diff,standardized_median_iqr
RFootProgressAngles_ax3_tmax_pct__median,-0.20168067226890757,-0.5798319327731093,0.22710084033613426,small,VICTIMS_LOWER,10.0,-0.18518518518518517,-0.35874439461883406
RHipAngles_ax3_rom__median,-0.2184873949579832,-0.6220588235294118,0.20168067226890757,small,VICTIMS_LOWER,2.266148328781128,-0.10488784718367211,-0.21920625039867792
var_LHipAngles_ax1_rom_sd,-0.226890756302521,-0.6388655462184873,0.21869747899159644,small,VICTIMS_LOWER,0.19386955627950142,-0.08432887800161708,-0.21565290010176852
LHipAngles_ax1_phase_70_80_rom__median,-0.20168067226890757,-0.6304621848739496,0.21008403361344538,small,VICTIMS_LOWER,1.3856441974639893,-0.09093915220765338,-0.4270293593967759
RKneeAngles_ax1_min__median,0.19327731092436976,-0.21029411764705883,0.5798319327731093,small,VICTIMS_HIGHER,1.3722548484802246,0.15573965712594787,0.29694499153509507
sym_AJC_ax1_excursion_absdiff,0.226890756302521,-0.15966386554621848,0.6304621848739493,small,VICTIMS_HIGHER,5.063676834106445,0.9832776229409531,0.5071552042592383
RKneeAngles_ax1_phase_50_60_min__median,0.21008403361344538,-0.2184873949579832,0.6218487394957983,small,VICTIMS_HIGHER,2.0440893173217773,0.1745156021882284,0.3373473159637527
RKneeAngles_ax1_phase_50_60_rom__median,-0.19327731092436976,-0.613655462184874,0.193487394957983,small,VICTIMS_LOWER,1.8188790082931519,-0.1412629780971443,-0.6448237867310488
sym_FootProgressAngles_ax1_max_absdiff,0.20168067226890757,-0.26071428571428573,0.6388655462184871,small,VICTIMS_HIGHER,1.335727334022522,0.7578261941997371,0.5756795099654132
LAnkleAngles_ax3_peak_acc__median,0.20168067226890757,-0.20168067226890757,0.5966386554621849,small,VICTIMS_HIGHER,1763.6192622400013,0.24838390981665176,0.4535592600672028
RAnkleAngles_ax3_max__median,0.20168067226890757,-0.25210084033613445,0.5882352941176471,small,VICTIMS_HIGHER,3.62961483001709,0.16272447033473014,0.2239479898767212
COM_msjerk__median,0.2773109243697479,-0.13445378151260504,0.6556722689075628,small,VICTIMS_HIGHER,61603371.841345996,1.2581606814342505,0.6157137841360819
LKJC_ax2_excursion__median,-0.19327731092436976,-0.5884453781512605,0.17647058823529413,small,VICTIMS_LOWER,1.5931243896484375,-0.028240059029667385,-0.12611104123865594
RAbsAnkleAngle_ax1_peak_acc__median,0.2184873949579832,-0.19327731092436976,0.6136554621848738,small,VICTIMS_HIGHER,496.67309981402013,0.06704990000536536,0.21864382498414192
var_LAnkleAngles_ax1_rom_sd,-0.2184873949579832,-0.6218487394957983,0.21869747899159644,small,VICTIMS_LOWER,0.5461492395117022,-0.20793198506515642,-0.4866395564788676
var_LAnkleAngles_ax1_rom_cv,-0.2184873949579832,-0.6050420168067226,0.20189075630252082,small,VICTIMS_LOWER,0.012368300660012724,-0.16025621398798875,-0.49562237240117946
cycle_duration_s__median,-0.21008403361344538,-0.5714285714285714,0.21428571428571427,small,VICTIMS_LOWER,0.020000000000000018,-0.019047619047619063,-0.2857142857142857
RAJC_ax2_excursion__median,-0.24369747899159663,-0.6304621848739496,0.14285714285714285,small,VICTIMS_LOWER,1.1885433197021484,-0.020383681867244294,-0.08220346914921173
LHEE_ax2_excursion__median,-0.24369747899159663,-0.6388655462184873,0.16806722689075632,small,VICTIMS_LOWER,0.8608245849609375,-0.014833596314252953,-0.04907444457975956
LAnkleAngles_ax1_phase_0_10_rom__median,-0.17647058823529413,-0.6052521008403361,0.2523109243697477,small,VICTIMS_LOWER,1.4512336254119873,-0.137014251864614,-0.531799952479053
var_LKneeAngles_ax1_rom_mad,0.226890756302521,-0.17647058823529413,0.5966386554621849,small,VICTIMS_HIGHER,0.026247024536132812,0.024508540187033235,0.08058861355867297
LAnkleAngles_ax3_peak_vel__median,0.16806722689075632,-0.22710084033613445,0.5714285714285714,small,VICTIMS_HIGHER,34.819589520239106,0.11750092470926825,0.2848082900088163
LAnkleAngles_ax1_phase_70_80_rom__median,-0.20168067226890757,-0.5970588235294118,0.23550420168067207,small,VICTIMS_LOWER,1.6378632001578808,-0.22555729681140899,-0.39401318097353544
LKneeAngles_ax1_phase_70_80_rom__median,-0.2184873949579832,-0.6134453781512605,0.21029411764705863,small,VICTIMS_LOWER,0.3531503677368164,-0.055495451697354106,-0.195310089478556
LKneeAngles_ax1_median__median,0.15126050420168066,-0.2689075630252101,0.5464285714285712,small,VICTIMS_HIGHER,3.4409942626953125,0.16580617553724938,0.5730187165806186
LKneeAngles_ax1_vel_rms__median,0.17647058823529413,-0.226890756302521,0.5798319327731093,small,VICTIMS_HIGHER,2.5687410054478335,0.0134933358291404,0.16122467828741663
RFootProgressAngles_ax1_std__median,-0.17647058823529413,-0.6134453781512605,0.23550420168067207,small,VICTIMS_LOWER,0.15762674522450482,-0.0054371824394268565,-0.10050610754264344
LPSI_ax3_excursion__median,-0.226890756302521,-0.6218487394957983,0.20189075630252082,small,VICTIMS_LOWER,1.4554290771484375,-0.02946510681769247,-0.16057940101120763
RFootProgressAngles_ax1_rom__median,-0.19327731092436976,-0.5968487394957983,0.226890756302521,small,VICTIMS_LOWER,2.6160902976989746,-0.025082726737039287,-0.38419985729600936
coord_right_hip_knee_ax1_corr__median,0.2184873949579832,-0.17668067226890757,0.6470588235294118,small,VICTIMS_HIGHER,0.043477612953430445,0.36916781565852497,0.45197957770744607
RKneeAngles_ax1_phase_70_80_rom__median,-0.23529411764705882,-0.6220588235294118,0.1850840336134452,small,VICTIMS_LOWER,0.31212329864501953,-0.04628063015245592,-0.17177790141081625
