channel,time_percent,control_median,n_control,level
RASI_ax2,7,190.44224548339844,14,secondary
RASI_ax2,8,189.37033081054688,14,secondary
RASI_ax2,9,188.14246368408203,14,secondary
RASI_ax2,10,187.11182403564453,14,secondary
RASI_ax2,11,186.87457275390625,14,secondary
RASI_ax2,12,186.64364624023438,14,secondary
RASI_ax2,13,185.40593719482422,14,secondary
RASI_ax2,14,183.81683349609375,14,secondary
RASI_ax2,15,182.16797637939453,14,secondary
RASI_ax2,16,184.55044555664062,14,secondary
RASI_ax2,17,186.2364044189453,14,secondary
RASI_ax2,18,187.19921112060547,14,secondary
RASI_ax2,19,186.83599090576172,14,secondary
RASI_ax2,20,186.7159881591797,14,secondary
RASI_ax2,21,186.20592498779297,14,secondary
RASI_ax2,22,185.47530364990234,14,secondary
RASI_ax2,23,184.66707611083984,14,secondary
RASI_ax2,24,183.90283203125,14,secondary
RASI_ax2,25,183.51658630371094,14,secondary
RASI_ax2,26,183.27681732177734,14,secondary
RASI_ax2,27,183.04387664794922,14,secondary
RASI_ax2,28,183.04148864746094,14,secondary
RASI_ax2,29,183.23760223388672,14,secondary
RASI_ax2,30,183.52674865722656,14,secondary
RASI_ax2,31,183.8594207763672,14,secondary
RASI_ax2,32,184.21808624267578,14,secondary
RASI_ax2,33,184.78065490722656,14,secondary
RASI_ax2,34,185.3072738647461,14,secondary
RASI_ax2,35,185.79764556884766,14,secondary
RASI_ax2,36,186.2559356689453,14,secondary
RASI_ax2,37,186.75350952148438,14,secondary
RASI_ax2,38,187.26253509521484,14,secondary
RASI_ax2,39,187.72687530517578,14,secondary
RASI_ax2,40,188.15790557861328,14,secondary
RASI_ax2,41,188.56319427490234,14,secondary
RASI_ax2,42,188.9555892944336,14,secondary
RASI_ax2,43,189.33902740478516,14,secondary
RASI_ax2,44,189.7908172607422,14,secondary
RASI_ax2,45,190.2600555419922,14,secondary
RASI_ax2,46,190.70415496826172,14,secondary
RASI_ax2,47,191.10220336914062,14,secondary
RASI_ax2,48,191.43241119384766,14,secondary
RASI_ax2,49,191.67383575439453,14,secondary
RASI_ax2,50,191.80752563476562,14,secondary
RASI_ax2,51,191.81527709960938,14,secondary
RASI_ax2,52,191.6832046508789,14,secondary
RASI_ax2,53,191.3957061767578,14,secondary
RASI_ax2,54,190.9372329711914,14,secondary
RASI_ax2,55,190.28341674804688,14,secondary
RASI_ax2,56,189.4546127319336,14,secondary
RASI_ax2,57,188.6357650756836,14,secondary
RASI_ax2,58,187.6611099243164,14,secondary
RASI_ax2,59,186.53607177734375,14,secondary
RASI_ax2,60,185.86721801757812,14,secondary
RASI_ax2,61,185.63597106933594,14,secondary
RASI_ax2,62,185.0308380126953,14,secondary
RASI_ax2,63,185.4396743774414,14,secondary
RASI_ax2,64,184.6129150390625,14,secondary
RASI_ax2,65,183.9382095336914,14,secondary
RASI_ax2,66,183.96640014648438,14,secondary
RASI_ax2,67,185.20269775390625,14,secondary
RASI_ax2,68,185.65955352783203,14,secondary
RASI_ax2,69,186.50003051757812,14,secondary
RASI_ax2,70,187.27223205566406,14,secondary
RASI_ax2,71,187.9344940185547,14,secondary
RASI_ax2,72,188.45960235595703,14,secondary
RASI_ax2,73,188.65260314941406,14,secondary
RASI_ax2,74,188.5466766357422,14,secondary
RASI_ax2,75,188.96363067626953,14,secondary
RASI_ax2,76,189.52898406982422,14,secondary
RASI_ax2,77,189.3883171081543,14,secondary
RASI_ax2,78,189.26992416381836,14,secondary
RASI_ax2,79,189.8315200805664,14,secondary
RASI_ax2,80,190.43145370483398,14,secondary
RASI_ax2,81,190.94245147705078,14,secondary
RASI_ax2,82,191.39640426635742,14,secondary
RASI_ax2,83,191.81058883666992,14,secondary
RASI_ax2,84,192.39129638671875,14,secondary
RASI_ax2,85,192.93790817260742,14,secondary
RASI_ax2,86,193.43817520141602,14,secondary
RASI_ax2,87,193.89046478271484,14,secondary
RASI_ax2,88,194.28005981445312,14,secondary
RASI_ax2,89,194.61139297485352,14,secondary
RASI_ax2,90,194.8945770263672,14,secondary
RASI_ax2,91,195.10834121704102,14,secondary
RASI_ax2,92,195.22360229492188,14,secondary
RASI_ax2,93,195.11327362060547,14,secondary
RASI_ax2,94,194.81818008422852,14,secondary
