feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank,phase_lo,phase_hi,phase_mid
RKneeAngles_ax1_phase_90_100_mean__median,31,17,14,19.772021900523793,17.67155530235984,17.73086911981756,15.912471417095755,2.100466598163951,0.11886144497329315,0.29411764705882354,0.41132933643018704,-0.13445378151260504,0.6638655462184874,small,VICTIMS_HIGHER,0.6470588235294118,0.8571428571428571,154.0,0.17085858498744178,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.29411764705882354,0.2857142857142857,0.2398190045248869,0.3936651583710407,1.0,0.09954751131221717,0.29411764705882354,0.178,999,subject,knee,phase,right,RKneeAngles,0.025692041522491355,exploratory,54,90,100,95.0
RAnkleAngles_ax1_phase_90_100_rom__median,31,17,14,2.6075387001037598,3.4570246934890747,3.3194353580474854,3.6735005719321117,0.8494859933853149,-0.2457274878554464,-0.226890756302521,-0.5899419521038005,-0.6386554621848739,0.17647058823529413,small,VICTIMS_LOWER,0.7647058823529411,0.7857142857142857,92.0,0.2928470165627216,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.226890756302521,-0.20535714285714285,-0.3212669683257919,-0.18552036199095023,1.0,0.09437621202327087,-0.226890756302521,0.307,999,subject,ankle,phase,right,RAnkleAngles,0.023423133959466137,exploratory,65,90,100,95.0
LHipAngles_ax1_phase_70_80_rom__median,31,17,14,13.85140347480774,15.237047672271729,14.073325942544376,14.692895701953343,1.3856441974639893,-0.09093915220765338,-0.20168067226890757,-0.4270293593967759,-0.6304621848739496,0.21008403361344538,small,VICTIMS_LOWER,0.7647058823529411,0.7142857142857143,95.0,0.3509160535416732,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.20168067226890757,-0.1875,-0.29411764705882354,-0.1583710407239819,1.0,0.09243697478991597,-0.20168067226890757,0.334,999,subject,hip,phase,left,LHipAngles,0.020820563519525458,exploratory,76,70,80,75.0
RKneeAngles_ax1_phase_50_60_min__median,31,17,14,13.757020950317383,11.712931632995605,13.70395668815164,12.092800055231367,2.0440893173217773,0.1745156021882284,0.21008403361344538,0.3373473159637527,-0.2184873949579832,0.6218487394957983,small,VICTIMS_HIGHER,0.7058823529411765,0.6428571428571429,144.0,0.330797823330896,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.21008403361344538,0.20361990950226244,0.1493212669683258,0.3031674208144796,1.0,0.09308338720103423,0.21008403361344538,0.319,999,subject,knee,phase,right,RKneeAngles,0.020019772614928325,exploratory,79,50,60,55.0
RKneeAngles_ax1_phase_50_60_rom__median,31,17,14,11.056957483291626,12.875836491584778,11.223024293780327,12.106552124023438,1.8188790082931519,-0.1412629780971443,-0.19327731092436976,-0.6448237867310488,-0.613655462184874,0.193487394957983,small,VICTIMS_LOWER,0.7647058823529411,0.6428571428571429,96.0,0.371793069296558,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.19327731092436976,-0.1875,-0.2850678733031674,-0.13122171945701358,1.0,0.09179056237879765,-0.19327731092436976,0.376,999,subject,knee,phase,right,RKneeAngles,0.01995304003954523,exploratory,80,50,60,55.0
LAnkleAngles_ax1_phase_0_10_rom__median,31,17,14,9.140610694885254,10.591844320297241,9.459037020145093,9.828417279890605,1.4512336254119873,-0.137014251864614,-0.17647058823529413,-0.531799952479053,-0.6052521008403361,0.2523109243697477,small,VICTIMS_LOWER,0.7647058823529411,0.7142857142857143,98.0,0.41579890439747025,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.17647058823529413,-0.16071428571428573,-0.2669683257918552,-0.13122171945701358,1.0,0.09049773755656107,-0.17647058823529413,0.424,999,subject,ankle,phase,left,LAnkleAngles,0.018217993079584775,exploratory,92,0,10,5.0
LAnkleAngles_ax1_phase_70_80_rom__median,31,17,14,5.623543206602335,7.261406406760216,6.650345856871675,7.433628228093896,1.6378632001578808,-0.22555729681140899,-0.20168067226890757,-0.39401318097353544,-0.5970588235294118,0.23550420168067207,small,VICTIMS_LOWER,0.6470588235294118,0.7142857142857143,95.0,0.3509160535416732,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.20168067226890757,-0.1875,-0.2767857142857143,-0.15178571428571427,1.0,0.07510504201680673,-0.20168067226890757,0.351,999,subject,ankle,phase,left,LAnkleAngles,0.017617399901136924,exploratory,95,70,80,75.0
LKneeAngles_ax1_phase_70_80_rom__median,31,17,14,6.010440826416016,6.363591194152832,6.2798302313860725,6.9068420955113,0.3531503677368164,-0.055495451697354106,-0.2184873949579832,-0.195310089478556,-0.6134453781512605,0.21029411764705863,small,VICTIMS_LOWER,0.5882352941176471,0.6428571428571429,93.0,0.31144131894886007,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.2184873949579832,-0.22171945701357465,-0.27601809954751133,-0.1583710407239819,1.0,0.0601163542340013,-0.2184873949579832,0.3,999,subject,knee,phase,left,LKneeAngles,0.01735046959960455,exploratory,96,70,80,75.0
RKneeAngles_ax1_phase_70_80_rom__median,31,17,14,6.4320220947265625,6.744145393371582,6.559928136713364,7.244157995496478,0.31212329864501953,-0.04628063015245592,-0.23529411764705882,-0.17177790141081625,-0.6220588235294118,0.1850840336134452,small,VICTIMS_LOWER,0.5294117647058824,0.5714285714285714,91.0,0.27501302114502435,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.23529411764705882,-0.248868778280543,-0.29464285714285715,-0.17647058823529413,1.0,0.05934873949579833,-0.23529411764705882,0.249,999,subject,knee,phase,right,RKneeAngles,0.016816608996539792,exploratory,103,70,80,75.0
RHipAngles_ax1_phase_40_50_rom__median,31,17,14,5.551887512207031,4.289270877838135,5.077037561465712,4.608319508177893,1.2626166343688965,0.29436626184944437,0.15966386554621848,0.5583085118573774,-0.2691176470588235,0.5546218487394958,small,VICTIMS_HIGHER,0.7647058823529411,0.6428571428571429,138.0,0.46273979492564543,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.15966386554621848,0.15178571428571427,0.09502262443438914,0.248868778280543,1.0,0.08920491273432452,0.15966386554621848,0.437,999,subject,hip,phase,right,RHipAngles,0.01648294611962432,exploratory,105,40,50,45.0
