subject_id,channel,victimized,vel_rms,mean_abs_accel,n_extrema
S17,LAnkleAngles_ax1,N,1.1088716072242575,0.1995460932197655,6.0
S19,LAnkleAngles_ax1,Y,1.2030419086984818,0.17863896126370582,4.0
S2,LAnkleAngles_ax1,N,1.1719126617940079,0.2082430344146243,8.0
S23,LAnkleAngles_ax1,N,1.101181169706716,0.17137911230548067,4.0
S26,LAnkleAngles_ax1,Y,0.5567791907414434,0.14613440719600887,12.0
S27,LAnkleAngles_ax1,Y,1.213158765994125,0.1795201799268388,4.0
S3,LAnkleAngles_ax1,Y,0.6526028675545762,0.10480227893562177,4.0
S30,LAnkleAngles_ax1,N,1.561509226708304,0.224749908875376,4.0
S31,LAnkleAngles_ax1,Y,1.093708360808679,0.17937978523201087,4.0
S32,LAnkleAngles_ax1,Y,1.2731510480539865,0.2127501556220074,7.0
S34,LAnkleAngles_ax1,Y,1.0789381820402293,0.19500456877638683,8.0
S35,LAnkleAngles_ax1,N,0.8040768362345673,0.16001262434569632,6.0
S37,LAnkleAngles_ax1,Y,0.9139501969878883,0.15065865891734875,5.0
S38,LAnkleAngles_ax1,Y,0.7362135544627687,0.14801971403064165,9.0
S39,LAnkleAngles_ax1,N,0.8048069270697498,0.16920912519589826,9.0
S4,LAnkleAngles_ax1,Y,0.9304010409719129,0.1428822252206698,7.0
S40,LAnkleAngles_ax1,N,0.9780228260267968,0.16311733785044058,3.0
S41,LAnkleAngles_ax1,N,0.9071295354051836,0.13535360384107176,8.0
S42,LAnkleAngles_ax1,N,1.4341999950464996,0.2045269212594932,4.0
S43,LAnkleAngles_ax1,N,0.9272873863086905,0.14398669757982593,6.0
S46,LAnkleAngles_ax1,Y,0.7461783603897391,0.12515906255624631,6.0
S48,LAnkleAngles_ax1,N,0.6687659263166121,0.11429718391575493,8.0
S5,LAnkleAngles_ax1,Y,1.0205861505731078,0.17977317815495295,7.0
S7,LAnkleAngles_ax1,Y,0.8123786394325395,0.12438506674234781,8.0
S8,LAnkleAngles_ax1,Y,1.0038013746744272,0.1556612222481605,4.0
S9,LAnkleAngles_ax1,N,0.9551039588592007,0.14598086150680167,6.0
S11,RAnkleAngles_ax1,N,1.0115120865971203,0.15612630622130977,4.0
S12,RAnkleAngles_ax1,N,0.8995025772507541,0.1432882895133347,6.0
S13,RAnkleAngles_ax1,Y,1.40148602662183,0.23220531365299274,5.0
S14,RAnkleAngles_ax1,Y,0.6747170635164462,0.08675116297539343,4.0
S15,RAnkleAngles_ax1,Y,1.28767243506869,0.18989416587063596,4.0
S17,RAnkleAngles_ax1,N,1.0087949177741276,0.17189516833220136,8.0
S19,RAnkleAngles_ax1,Y,1.1963805657566489,0.18397952034082857,3.0
S2,RAnkleAngles_ax1,N,1.0361393835214983,0.17508224539329648,4.0
S23,RAnkleAngles_ax1,N,1.0848419083848997,0.16585676497886997,4.0
S26,RAnkleAngles_ax1,Y,0.5477447869487392,0.12535553192415708,6.0
S27,RAnkleAngles_ax1,Y,1.246418541686565,0.1921228797888238,5.0
S3,RAnkleAngles_ax1,Y,0.9566048014778742,0.15770019267513016,8.0
S30,RAnkleAngles_ax1,N,1.6279178799396246,0.2706848201696909,5.0
S31,RAnkleAngles_ax1,Y,0.9369900395129362,0.16097799726734233,6.0
S32,RAnkleAngles_ax1,Y,1.2449681697035335,0.18433191015745223,4.0
S34,RAnkleAngles_ax1,Y,1.2797953339205341,0.19652426736266684,5.0
S35,RAnkleAngles_ax1,N,1.1459218440011552,0.25686008024519486,5.0
S37,RAnkleAngles_ax1,Y,0.8634153155252463,0.13905497203626221,6.0
S38,RAnkleAngles_ax1,Y,0.7382686205095258,0.13782304400717557,6.0
S39,RAnkleAngles_ax1,N,0.5156407934616754,0.10584130418322932,6.0
S4,RAnkleAngles_ax1,Y,1.1040807644929975,0.1897772591177713,8.0
S40,RAnkleAngles_ax1,N,0.7882603714979595,0.14675387901840445,8.0
S41,RAnkleAngles_ax1,N,0.7247780053177482,0.10466344664318492,5.0
S42,RAnkleAngles_ax1,N,1.2265876458933274,0.17052757278434783,4.0
S43,RAnkleAngles_ax1,N,1.0621218232842102,0.147724420574382,6.0
S46,RAnkleAngles_ax1,Y,0.7864519158592276,0.13771801273100986,7.0
S48,RAnkleAngles_ax1,N,0.9159996145418937,0.13743916812077625,4.0
S5,RAnkleAngles_ax1,Y,0.8736773657324559,0.14042106252906916,6.0
S7,RAnkleAngles_ax1,Y,0.8117932219903976,0.11618452734344059,4.0
S8,RAnkleAngles_ax1,Y,1.0167420793399014,0.13957006207128123,4.0
S9,RAnkleAngles_ax1,N,0.900691849895376,0.14417347552089702,8.0
S11,LFootProgressAngles_ax1,N,2.3685857206649907,0.2552962672820751,4.0
S12,LFootProgressAngles_ax1,N,2.5360987143208193,0.2978510822402741,4.0
S13,LFootProgressAngles_ax1,Y,2.6336658241451745,0.32997119165082717,4.0
S14,LFootProgressAngles_ax1,Y,2.2613660731228027,0.2713081319408785,4.0
S15,LFootProgressAngles_ax1,Y,2.6868725569476877,0.3623859912673622,6.0
S17,LFootProgressAngles_ax1,N,2.592312220481075,0.33259060000473206,6.0
S19,LFootProgressAngles_ax1,Y,2.612659818069151,0.27580818248110395,5.0
S2,LFootProgressAngles_ax1,N,2.641845907852639,0.3500817438058842,4.0
S23,LFootProgressAngles_ax1,N,2.647672317399215,0.2904258076111081,3.0
S26,LFootProgressAngles_ax1,Y,1.6153320758258691,0.2101555483695944,3.0
S27,LFootProgressAngles_ax1,Y,2.6731451940868527,0.30050210201775174,3.0
S3,LFootProgressAngles_ax1,Y,1.6699744122097897,0.21166299823335938,4.0
S30,LFootProgressAngles_ax1,N,2.9467352822811734,0.3031746915646346,2.0
S31,LFootProgressAngles_ax1,Y,2.505742554621882,0.2980554678369131,3.0
S32,LFootProgressAngles_ax1,Y,2.7996893479833522,0.31622840961508336,3.0
S34,LFootProgressAngles_ax1,Y,2.4461607277704127,0.302945464247635,4.0
S35,LFootProgressAngles_ax1,N,2.4687738117398226,0.32293889118062497,5.0
S37,LFootProgressAngles_ax1,Y,2.3938989128178787,0.27384651301791935,4.0
S38,LFootProgressAngles_ax1,Y,2.38696893741753,0.3038187814277752,4.0
S39,LFootProgressAngles_ax1,N,1.7021508478867071,0.21870750799744515,4.0
S4,LFootProgressAngles_ax1,Y,2.4713523742396,0.2797479834210262,4.0
S40,LFootProgressAngles_ax1,N,2.5825148024102553,0.2916286856499365,4.0
S41,LFootProgressAngles_ax1,N,1.85545694732227,0.19712726601425412,4.0
S42,LFootProgressAngles_ax1,N,2.688727669664689,0.30029814556244944,4.0
S43,LFootProgressAngles_ax1,N,2.6042731416034597,0.2867815865572101,4.0
S46,LFootProgressAngles_ax1,Y,2.316328906913286,0.30205444089072614,4.0
S48,LFootProgressAngles_ax1,N,2.3468180236969696,0.2591775551336192,3.0
S5,LFootProgressAngles_ax1,Y,2.445129322898069,0.2840094742315731,4.0
S7,LFootProgressAngles_ax1,Y,2.3621127515271465,0.24402169148561884,4.0
S8,LFootProgressAngles_ax1,Y,2.580645955206168,0.27248968369669996,3.0
S9,LFootProgressAngles_ax1,N,2.461456671780548,0.3072415225771968,4.0
S11,RFootProgressAngles_ax1,N,2.309339475831566,0.26265084115387277,3.0
S12,RFootProgressAngles_ax1,N,2.5152660728234997,0.2643354904473098,4.0
S13,RFootProgressAngles_ax1,Y,2.7965683043089946,0.3337933207485953,4.0
S14,RFootProgressAngles_ax1,Y,2.081428132752059,0.24949141547302958,4.0
S15,RFootProgressAngles_ax1,Y,2.5720226330400084,0.29071962468862667,4.0
S17,RFootProgressAngles_ax1,N,2.561826018877986,0.3003556466058029,4.0
S19,RFootProgressAngles_ax1,Y,2.588894499582071,0.2526672378424192,2.0
S2,RFootProgressAngles_ax1,N,2.5165844978587066,0.33162265013310055,5.0
S23,RFootProgressAngles_ax1,N,2.5291669931933645,0.29759783829440906,4.0
S26,RFootProgressAngles_ax1,Y,1.6462624690920356,0.2550166505843853,6.0
